url,week_id,week_position,song,performer,song_id,instance,previous_week_position,peak_position,weeks_on_chart
http://www.billboard.com/charts/hot-100/1982-04-24,4/24/1982,21,Always On My Mind,Willie Nelson,Always On My MindWillie Nelson,1,26.0,21,8
http://www.billboard.com/charts/hot-100/1984-05-05,5/5/1984,21,Dancing In The Sheets,Shalamar,Dancing In The SheetsShalamar,1,26.0,21,8
http://www.billboard.com/charts/hot-100/1988-07-09,7/9/1988,21,Parents Just Don't Understand,D.J. Jazzy Jeff & The Fresh Prince,Parents Just Don't UnderstandD.J. Jazzy Jeff & The Fresh Prince,1,26.0,21,8
http://www.billboard.com/charts/hot-100/1988-10-29,10/29/1988,21,"Baby, I Love Your Way/Freebird Medley",Will To Power,"Baby, I Love Your Way/Freebird MedleyWill To Power",1,26.0,21,8
http://www.billboard.com/charts/hot-100/2014-05-03,5/3/2014,21,Ain't It Fun,Paramore,Ain't It FunParamore,1,26.0,21,8
http://www.billboard.com/charts/hot-100/1963-04-20,4/20/1963,21,Sandy,Dion,SandyDion,1,27.0,21,8
http://www.billboard.com/charts/hot-100/1974-11-16,11/16/1974,21,Sha-La-La (Make Me Happy),Al Green,Sha-La-La (Make Me Happy)Al Green,1,27.0,21,8
http://www.billboard.com/charts/hot-100/1986-10-04,10/4/1986,21,Sweet Love,Anita Baker,Sweet LoveAnita Baker,1,27.0,21,8
http://www.billboard.com/charts/hot-100/1986-11-29,11/29/1986,21,C'est La Vie,Robbie Nevil,C'est La VieRobbie Nevil,1,27.0,21,8
http://www.billboard.com/charts/hot-100/1988-06-11,6/11/1988,21,Pour Some Sugar On Me,Def Leppard,Pour Some Sugar On MeDef Leppard,1,27.0,21,8
http://www.billboard.com/charts/hot-100/1988-06-25,6/25/1988,21,Rush Hour,Jane Wiedlin,Rush HourJane Wiedlin,1,27.0,21,8
http://www.billboard.com/charts/hot-100/1999-12-18,12/18/1999,21,"4, 5, 6",Sole Featuring JT Money & Kandi,"4, 5, 6Sole Featuring JT Money & Kandi",1,27.0,21,8
http://www.billboard.com/charts/hot-100/1962-01-20,1/20/1962,21,Small Sad Sam,Phil McLean,Small Sad SamPhil McLean,1,28.0,21,8
http://www.billboard.com/charts/hot-100/1965-05-01,5/1/1965,21,Baby The Rain Must Fall,Glenn Yarbrough,Baby The Rain Must FallGlenn Yarbrough,1,28.0,21,8
http://www.billboard.com/charts/hot-100/1986-12-20,12/20/1986,21,Someday,Glass Tiger,SomedayGlass Tiger,1,28.0,21,8
http://www.billboard.com/charts/hot-100/2000-06-17,6/17/2000,21,Back Here,BBMak,Back HereBBMak,1,28.0,21,8
http://www.billboard.com/charts/hot-100/2016-11-05,11/5/2016,21,OOOUUU,Young M.A,OOOUUUYoung M.A,1,28.0,21,8
http://www.billboard.com/charts/hot-100/1970-12-05,12/5/1970,21,After Midnight,Eric Clapton,After MidnightEric Clapton,1,29.0,21,8
http://www.billboard.com/charts/hot-100/1973-06-30,6/30/1973,21,Diamond Girl,Seals & Crofts,Diamond GirlSeals & Crofts,1,29.0,21,8
http://www.billboard.com/charts/hot-100/1975-10-11,10/11/1975,21,Do It Any Way You Wanna,Peoples Choice,Do It Any Way You WannaPeoples Choice,1,29.0,21,8
http://www.billboard.com/charts/hot-100/1987-02-07,2/7/1987,21,"Somewhere Out There (From ""An American Tail"")",Linda Ronstadt & James Ingram,"Somewhere Out There (From ""An American Tail"")Linda Ronstadt & James Ingram",1,29.0,21,8
http://www.billboard.com/charts/hot-100/1987-04-04,4/4/1987,21,Dominoes,Robbie Nevil,DominoesRobbie Nevil,1,29.0,21,8
http://www.billboard.com/charts/hot-100/1977-10-29,10/29/1977,21,Blue Bayou,Linda Ronstadt,Blue BayouLinda Ronstadt,1,32.0,21,8
http://www.billboard.com/charts/hot-100/1999-08-21,8/21/1999,21,Spend My Life With You,Eric Benet Featuring Tamia,Spend My Life With YouEric Benet Featuring Tamia,1,32.0,21,8
