id,original_title,title,original_language,overview,tagline,release_date,poster_path,popularity,vote_count,vote_average,budget,revenue,runtime,status,adult,backdrop_path,genre_names,collection,collection_name,_art_year
181175,Summoned,Summoned,en,"Follow three individuals who served on the jury for one of San Francisco's most high profile serial killer cases. Now someone, or something, is killing them off one by one.",Some secrets won't stay buried,2013-06-01,/f7D6pzej5RYfbpqXXW7aGl8mzLU.jpg,3.815,28,4.7,0,0,91,Released,False,/pO8AFkpPRqrHpU9r3cQdgMgoUx1.jpg,"Horror, Thriller, TV Movie",,,2013
30554,When a Stranger Calls Back,When a Stranger Calls Back,en,"Julia is babysitting two young kids while a doctor and his wife are out. During the evening, a stranger knocks on the door asking Julia if she can call the auto club so he can get a tow. The phone line is dead though. This is all part of the act as he has made his way inside and abducted the two children.",Terror Is Twice As Chilling The Second Time Around!,1993-04-04,/m2Aw6vFF9f1UpOOZbWvzAPo8p1P.jpg,3.814,57,5.9,0,0,94,Released,False,/xV5TyLxSdWvGnUNfEAtwkd6wnx4.jpg,"Horror, Thriller, TV Movie",276838.0,When a Stranger Calls Collection,1993
107275,The Signalman,The Signalman,en,"A traveller comes across a signalman stationed by the exit of a railway tunnel in a deep cutting. The traveller becomes familiar with the signalman, and finds that he is troubled by an apparition which appears by the tunnel.",,1976-12-22,/8WHG1G1jbHVbwXc7KHQyShz4RdD.jpg,3.814,30,7.0,0,0,38,Released,False,/nmnzMEEiBv0vD05xtlYpWlrpIdP.jpg,"Horror, TV Movie",,,1976
45102,House of Fears,House of Fears,en,"The night before a local haunted house opens for Halloween, six friends sneak in for a few hours of fun. Soon after entering, they find themselves trapped inside with no way out.","Six friends sneak into a haunted house the night before it opens for Halloween, only to find that their evening of fun has turned into their worst nightmare.",2007-10-07,/mQmq6QsLSvpeFkqNRMxe3G5paKP.jpg,3.812,21,5.2,0,0,86,Released,False,,"Horror, Thriller",,,2007
375542,Framed,Framed,es,A group of young people is attacked by three individuals. Cruel games and tortures will be broadcast in live streaming.,Madness goes live streaming,2017-11-10,/ltZQBY1hu97obrVCaA0v0wp204o.jpg,3.811,14,4.1,0,0,80,Released,False,/wswuRbSrgRj70mqCt8nnGeoIl6s.jpg,"Horror, Thriller",,,2017
25479,Black Devil Doll,Black Devil Doll,en,"Five hot sexy young big-breasted chicks are raped, abused, tortured, and killed (?) by an evil jive-ass talking doll possessed by the spirit of an executed black militant death row inmate. Who will survive...",,2007-10-31,/7OJ70VGFuyEyVrXJQpMGYiXOd39.jpg,3.809,21,4.4,10000,0,73,Released,False,,Horror,,,2007
450968,Holy Terror,Holy Terror,en,"Believing their deceased son isn't at peace, Molly and Tom ask a medium to make contact. But after they invite a vengeful demon to cross over, the couple must enlist the help of a disgraced priest to attempt a dangerous exorcism.",The Devil is Real,2017-04-01,/xCiAHDqxY7dlYG8PX0BvKrlBbgr.jpg,3.809,11,4.0,1000000,0,77,Released,False,/sNuWjSVeahhN0JALm3MVy6iKUaB.jpg,Horror,,,2017
662903,I Blame Society,I Blame Society,en,"A struggling filmmaker senses her peers are losing faith in her ability to succeed, so she decides to prove herself by finishing her last abandoned film... and committing the perfect murder.",Filmmaking needs some new blood,2020-01-27,/fiP519MBltMTzg5JtaLLAOw8wbn.jpg,3.809,19,5.7,0,0,84,Released,False,/A1RbGYfYgVe58JLUhzrEJ6VyZ9M.jpg,"Comedy, Horror",,,2020
56790,인형사,The Doll Master,ko,"Five people are invited to a remote doll museum and one by one they are mysteriously killed. The survivors find out the truth: dolls have spirits, and they have come to settle scores.",They walk. they talk. they kill.,2004-08-06,/hayajVOmjk8LhqvYDHdQ7K5Ler2.jpg,3.807,49,5.8,0,0,90,Released,False,/qlDtAlzcBaETbVK5VyV5NQZhUiP.jpg,Horror,,,2004
98106,Spasms,Spasms,en,A gigantic serpent is captured on a remote island and shipped to an American college for experimentation.,"You scream, you expand, you explode. A new source of evil is discovered and is out of control.",1983-10-28,/o11a36QWsdfOHkgO346EoalIzWQ.jpg,3.806,19,5.0,0,0,90,Released,False,/kwzdH6w7pMhKlj6JI9eKtvidPOC.jpg,"Horror, Science Fiction",,,1983
