week_ending,week_number,weekly_gross_overall,show,theatre,weekly_gross,potential_gross,avg_ticket_price,top_ticket_price,seats_sold,seats_in_theatre,pct_capacity,performances,previews,synopsis,start_date
2007-10-07,19,16044883.0,A Bronx Tale,Walter Kerr Theatre,146469.0,299034.0,55.84,251.5,2623,947,0.6924,0,4,"Based on the one-man show that inspired the now classic film, this streetwise musical will take you to the stoops of the Bronx in the 1960s—where a young man is caught between the father he loves and the mob boss he’d love to be.",
2007-10-14,20,16172839.0,Cyrano de Bergerac,Richard Rodgers Theatre,344031.0,325829.0,92.21,250.0,3731,1347,0.9233,0,3,"Cyrano is a poet, philosopher and swordsman of incredible wit, but his sizable nose renders him too shy to pursue the beautiful Roxane. Instead, he provides the poetry and eloquence to woo her vicariously through his inarticulate friend Christian.",
2007-10-14,20,16172839.0,Young Frankenstein,Hilton Theatre,0.0,,0.0,450.0,0,0,0.0,0,0,"Dr. Frankenstein aims to fulfill his grandfather's legacy by bringing a corpse back to life. With help and hindrance from servant Igor, buxom assistant Inga and needy fiancée Elizabeth, his experiment yields success and unexpected consequences.",
2007-10-21,21,17382119.0,Rock 'n' Roll,Bernard B. Jacobs Theatre,138108.0,183368.0,69.58,226.5,1985,1074,0.9241,0,2,"Stoppard examines recent Czechoslovakian history from the perspectives of Prague, where rock and roll represents resistance to the regime, and Cambridge, where love and death shape the lives of three generations of the family of a Marxist professor.",
2007-10-21,21,17382119.0,The Farnsworth Invention,Music Box Theatre,190545.0,555625.0,58.63,201.5,3250,1005,0.462,0,7,"Sorkin's historical drama follows the parallel lives of Philo Farnsworth, a young inventor on a Utah farm, and David Sarnoff, the Russian immigrant who became the president of RCA, as they battle for patent rights of the new-fangled television.",
2007-11-04,23,16754159.0,August: Osage County,Music Box Theatre,198575.0,916922.0,42.69,176.5,4652,1439,0.4041,0,8,"When the family patriarch vanishes, the Westons return to rural Oklahoma to care for their afflicted, manipulative mother Violet. Armed with prescription drugs and paranoid mood swings, Violet reigns over the home as family secrets unfold.",
2007-11-04,23,16754159.0,Cymbeline,Vivian Beaumont Theater,97663.0,344460.0,40.21,85.0,2429,1057,0.5745,0,4,"King Cymbeline's daughter has secretly married her childhood friend, a man of low low birth. The outraged king banishes her suitor, and the soured union sets in motion a tragic tale of innocence, jealousy and betrayal.",
2007-11-04,23,16754159.0,The Little Mermaid,Lunt-Fontanne Theatre,262201.0,262028.0,87.17,251.5,3008,1504,1.0,0,2,Presented by Literally Alive Children's Theatre,
2007-11-04,23,16754159.0,The Seafarer,Booth Theatre,91379.0,470026.0,45.71,226.5,1999,780,0.3661,0,7,"A hardened alcoholic returns to his Dublin home to care for his brother, who was recently blinded in a drunken fall. As he tries to stay sober for Christmas, a visit from a mysterious stranger forces him to confront his troubled conscience.",
2007-11-11,24,11070673.0,Is He Dead?,Lyceum Theatre,34151.0,138284.0,42.37,226.5,806,922,0.4371,0,2,"In a rollicking farce by Mark Twain, a destitute artist fakes his own death to increase the value of his paintings, dons a dress and reappears as his long-lost, imaginary twin sister.",
2007-12-23,30,21099860.0,November,Ethel Barrymore Theatre,266490.0,515349.0,65.28,251.5,4082,1058,0.643,0,6,A Watergate criminal returns home after serving time in prison.,
2008-01-06,32,20739353.0,"Come Back, Little Sheba",Biltmore Theatre,87185.0,279900.0,49.23,91.5,1771,650,0.5449,0,5,"Marie, an attractive young boarder, gives new meaning to the lives of Doc and Lola Delaney, married for 20 years and grindingly unhappy. For Lola, Marie is the child she never had. Doc, a recovering alcoholic, has less than paternal feelings.",
2008-01-06,32,20739353.0,The 39 Steps,Helen Hayes Theatre,113696.0,259540.0,48.26,96.25,2356,740,0.7959,0,4,"In Patrick Barlow's adaptation of Alfred Hitchcock's 1935 thriller, a cast of four actors portrays every hero, villain, spy, and love interest from Simon Corble's novel, to farcical effect.",
2008-02-10,37,14567001.0,Passing Strange,Belasco Theatre,55129.0,265897.0,46.37,201.5,1189,1010,0.3924,0,3,"A young musician rebels against his conservative upbringing by embarking on a search for ""the real."" From L.A. to Amsterdam to Berlin, he chases youthful dreams and spiritual clarity against a shifting backdrop of locales and acquaintances.",
2008-02-17,38,18802116.0,In the Heights,Richard Rodgers Theatre,366862.0,681648.0,55.03,250.0,6666,1344,0.8266,0,6,"In the Washington Heights neighborhood of Manhattan, a young storeowner watches the joys and heartbreaks of his tight-knit community as they pass through his bodega.",
2008-03-02,40,14835793.0,South Pacific,Vivian Beaumont Theater,154065.0,200120.0,77.07,100.0,1999,1051,0.951,0,2,"South Pacific follows the lives of U.S. military men, nurses and residents of a Polynesian island during World War II, based on James Michener's Tales of the South Pacific and featuring a score by Rodgers and Hammerstein.",
2008-03-16,42,17906929.0,Cry-Baby,Marquis Theatre,69652.0,73350.0,43.24,250.0,1611,1611,1.0,0,1,"In 1950s Baltimore, the conservative squares face off against the leather-clad delinquents. When straitlaced Allison falls for a boy from the other side of the tracks, the whole town endeavors to keep them apart.",
2008-03-30,44,21156392.0,A Catered Affair,Walter Kerr Theatre,400926.0,606209.0,69.82,199.5,5742,933,0.8792,0,7,"Jane and Ralph decide to marry in a simple City Hall ceremony. But Jane's mother, bereaved from her son's death in the Korean War, envisions a lavish affair and strains family relationships and finances to plan the wedding she has always wanted.",
2008-04-06,45,17944821.0,The Country Girl,Bernard B. Jacobs Theatre,203468.0,278895.0,78.86,300.0,2580,1103,0.7797,0,3,"1934. A time-weathered guesthouse in the heartland of America. Only a song can shake off the dust for one group of wayward souls—and old dreams may hold the promise of new beginnings. As they pass in and out of each other’s lives, their stories awaken with passion, fury and extraordinary beauty. Reimagining the music of Bob Dylan as roof-raising ensemble pieces and soul-stirring solos, celebrated playwright Conor McPherson (The Weir, The Seafarer) writes and directs this heartbreaking and universal story about family and love.After critically-acclaimed, smash-hit runs at The Public Theater, The Old Vic London, and in the West End, Girl from the North Country brings its rousing spirit to Broadway.",
2008-04-13,46,18543795.0,Thurgood,Booth Theatre,79175.0,128146.0,58.43,151.5,1355,780,0.8686,0,2,"George Stevens Jr.'s one-man show depicts the life of Thurgood Marshall, the first African-American Supreme Court justice, and his role in the historic decision on the Brown v. Board of Education case.",
2008-04-20,47,18791333.0,Boeing-Boeing,Longacre Theatre,81063.0,159247.0,51.27,251.5,1581,1077,0.734,0,2,"Playboy Bernard juggles three fiancées, all flight attendants, with careful planning and the reluctant assistance of his housekeeper. But weather delays and the invention of a faster Boeing jet send his elaborate love life into chaos.",
2008-04-20,47,18791333.0,Top Girls,Biltmore Theatre,138652.0,412650.0,46.59,91.5,2976,650,0.6541,0,7,"To celebrate her promotion at the Top Girls Employment Agency, Marlene throws herself a fanciful dinner party. Each attendee is a historical or fictional woman who brings her own tale of struggle and success.",
2008-04-27,48,20335690.0,Glory Days,Circle in the Square Theatre,51094.0,522600.0,22.23,201.5,2298,670,0.4287,0,8,"Four high school friends reunite one year after graduation. A night of fun and reminiscing gives way to tension and confessions, and the group must face how much their lives have changed.",
2008-06-22,4,20962854.0,Cirque Dreams,Broadway Theatre,415858.0,1019189.0,57.2,200.0,7270,1742,0.5217,0,8,"Cirque Dreams Jungle Fantasy is a theatrical, acrobatic and musical adventure inspired by nature's unpredictable creations, brought to life by a cast of aerialists, contortionists, acrobats, jugglers and musicians.",
2008-07-06,6,18880521.0,[title of show],Lyceum Theatre,69299.0,198534.0,46.51,200.0,1490,922,0.5387,0,3,Struggling writers Hunter and Jeff race against a deadline to enter an original musical into a theatre festival. [title of show] depicts their journey as artists and friends as they write a musical about writing a musical.,
2008-08-24,13,17344649.0,A Tale of Two Cities,Al Hirschfeld Theatre,364207.0,713340.0,59.94,97.0,6076,1420,0.7131,0,6,,
2008-09-07,15,13119538.0,Equus,Broadhurst Theatre,271604.0,242723.0,119.97,300.0,2264,1212,0.934,0,2,"Psychiatrist Martin Dysart attempts to understand why young stableboy Alan Strang has blinded six horses. In his exploration of the troubled boy and his dysfunctional parents, Dysart must confront the shortcomings of his own life.",
2008-09-14,16,13763549.0,A Man for All Seasons,American Airlines Theatre,141040.0,336819.0,50.3,111.5,2804,740,0.7578,0,5,"Robert Bolt's historical drama follows Sir Thomas More, the 16th-century Chancellor of England, as he clashes with Henry VIII for refusing to support his divorce and faces persecution for honoring his conscience.",
2008-09-21,17,15646164.0,13,Bernard B. Jacobs Theatre,203326.0,795772.0,49.53,198.5,4105,1042,0.4924,0,8,,
2008-09-21,17,15646164.0,To Be Or Not to Be,Samuel J. Friedman Theatre,134559.0,476080.0,50.19,95.0,2681,650,0.5156,0,8,,
2008-10-05,19,16587237.0,Billy Elliot: The Musical,Imperial Theatre,700757.0,729993.0,105.54,300.0,6640,1420,0.9352,0,5,"Based on the hit film of the same name, Billy Elliot tells the story of a boy from a family of coal miners who dreams of becoming a ballet dancer, even though his father wants him to box.",
2008-10-26,22,17209276.0,Dividing the Estate,Booth Theatre,109674.0,244679.0,44.69,90.0,2454,780,0.7865,0,4,"The Gordons of Harrison, Texas, have enjoyed years of leisure, wealth and privilege. But the family fortune suddenly seems uncertain in light of unexpected taxes and plunging property values, and siblings begin to squabble over inheritance from their still-living matriarch.",
2008-11-02,23,15656658.0,American Buffalo,Belasco Theatre,124431.0,372088.0,52.24,250.0,2382,1018,0.585,0,4,"Three small-time hustlers want a bigger cut of the American dream. David Mamet’s classic about loyalty and greed stars Academy Award nominee and Emmy winner Laurence Fishburne (Thurgood, ""The Matrix""), Academy Award winner Sam Rockwell (""Three Billboards,"" Fool For Love), and Emmy winner Darren Criss (""The Assassination of Gianni Versace,"" Hedwig), under the direction of Neil Pepe (Tony-winning Artistic Director of Atlantic Theater Company). American Buffalo returns to Broadway more explosive and pointed than ever, exposing a timely American truth: crime and business are two sides of the same coin.",
2008-11-09,24,17125792.0,Shrek the Musical,Broadway Theatre,169720.0,172554.0,104.0,300.0,1632,1739,0.9385,0,1,A benign green ogre and his sidekick Donkey save the land from an evil lord and rescue a lovely princess from a terrible fate. Based on the blockbuster movie and the book by William Steig.,
2008-11-16,25,16629335.0,Irving Berlin's White Christmas,Marquis Theatre,565269.0,789360.0,82.38,250.0,6862,1598,0.8588,0,5,"Two World War II vets have become partners in a song-and-dance act after the war. Looking for love, they follow a duo of beautiful singing sisters to a gig at a Vermont lodge, which happens to be owned by their former army commander General Waverly.",
2008-11-16,25,16629335.0,Pal Joey,Studio 54,207099.0,341282.0,57.3,121.5,3614,1004,0.8999,0,4,"Joey, a second-rate Chicago entertainer, two-times a married society dame and a naïve chorus girl. Based on the novel by John O'Hara and scored by Rodgers & Hart.",
2008-12-07,28,20328651.0,Liza's at the Palace....,Palace Theatre,506340.0,490050.0,105.64,250.0,4793,1701,0.7044,4,0,"In her Tony-winning solo concert, Liza Minnelli revisits her mother Judy Garland's 1951 Palace engagement and pays tribute to her godmother Kay Thompson's nightclub act.",
2008-12-07,28,20328651.0,Slava's Snowshow,Helen Hayes Theatre,198798.0,369760.0,71.87,79.5,2766,578,0.5982,1,7,"Russia's greatest clown strings together a series of breathtaking images performed to popular music. A giant cobweb stretches over the entire audience; a raging blizzard coats the audience in snow; giant helium-filled beach balls are kept afloat by the viewers. Lyrical, hilarious, poignant and brilliant. (Clown Show)",
2009-01-04,32,25690836.0,The American Plan,Samuel J. Friedman Theatre,72190.0,226138.0,47.37,95.0,1524,650,0.5862,0,4,"In a 1960s Catskills summer home, an elegant and imperious German-Jewish refugee tries to control her eccentric daughter, who begins to fall for a handsome stranger and longs to escape her mother's manipulative stronghold.",
2009-01-18,34,13882638.0,Soul of Shaolin,Marquis Theatre,361036.0,844526.0,30.54,200.0,11822,1611,0.9173,5,3,"Based on the daily lives and training regimens of the Buddhist monks of Shaolin, this spectacle tells the story of a boy raised by monks who becomes a kung fu master.",
2009-01-25,35,12684919.0,You're Welcome America,Cort Theatre,837353.0,761273.0,98.52,250.0,8499,1067,0.9957,0,8,"Will Ferrell revisits his Saturday Night Live-era caricature of George W. Bush in You're Welcome America. As his presidency draws to a close, W. reminisces on his journey from Yalie to baseball entrepreneur to leader of the free world.",
2009-02-08,37,12353028.0,The Story of My Life,Booth Theatre,73812.0,600521.0,35.73,175.0,2066,780,0.3311,0,8,"Thomas is a best-selling, award-winning author. But time and personal success have battered the bonds of his lifelong friendship with Alvin, and he reflects on their shared past in search of what went wrong.",
2009-02-15,38,14354031.0,33 Variations,Eugene O'Neill Theatre,246337.0,745826.0,59.3,115.0,4154,1059,0.5604,0,7,"In parallel tales of obsession, musicologist Katherine Brandt attempts to uncover the motivation behind Beethoven's Diabelli Variations, a series of 33 variations on an ordinary waltz by a composer he felt was beneath him.",
2009-03-01,40,13630245.0,God of Carnage,Bernard B. Jacobs Theatre,118607.0,203815.0,72.54,250.0,1635,1078,0.7583,0,2,"Following a playground fight between two boys, their parents meet to discuss the incident. But a rational discussion among adults quickly devolves into a childish evening of name-calling, tears and tantrums.",
2009-03-01,40,13630245.0,Impressionism,Gerald Schoenfeld Theatre,59699.0,102518.0,73.79,300.0,809,1071,0.7554,0,1,A globe-trotting photojournalist and a New York gallery owner take a step back from their own lives and confront repressed traumas through the exploration of a series of paintings.,
2009-03-01,40,13630245.0,West Side Story,Palace Theatre,1042713.0,1057795.0,92.92,300.0,11222,1677,0.956,0,7,"When four theatrical giants — Jerome Robbins, Leonard Bernstein, Arthur Laurents and Stephen Sondheim — created West Side Story, it was immediately hailed as a masterpiece. Now, three of the most daring theater-makers of our time — director Ivo van Hove (A View From the Bridge and The Crucible), choreographer Anne Teresa de Keersmaeker, and designer and frequent Van Hove collaborator Jan Versweyveld — offer a radical, thrilling new interpretation of this iconic work, with extraordinary dancing, breathtaking vision, and 33 young, brilliantly gifted performers all making their Broadway debuts.",
2009-03-08,41,14270631.0,Exit the King,Ethel Barrymore Theatre,126011.0,197181.0,67.24,250.0,1874,1058,0.8856,0,2,"Ionesco's absurdist drama follows King Berenger I in the final day of his life, surrounded by a decaying kingdom, as he refuses to acknowledge death and slowly acquiesces to its reality.",
