WASTE_ID,SOURCE,ORG_ID,WWTP_NAME,COUNTRY,CNTRY_ISO,LAT_WWTP,LON_WWTP,QUAL_LOC,LAT_OUT,LON_OUT,STATUS,POP_SERVED,QUAL_POP,WASTE_DIS,QUAL_WASTE,LEVEL,QUAL_LEVEL,DF,HYRIV_ID,RIVER_DIS,COAST_10KM,COAST_50KM,DESIGN_CAP,QUAL_CAP
4008,1,1282977,PORTO_TOLLE_VIA_TANGENZIALE_EST,Italy,ITA,44.942,12.325,2,44.856,12.365,Not Reported,3946,2,781.168,4,Secondary,1,,20507754.0,,1,1,6000.0,2
4009,1,1282978,PORTO_VIRO_OVEST_S_S_ROMEA,Italy,ITA,44.953,12.302,2,44.96,12.402,Not Reported,25587,2,5065.317,4,Advanced,1,,20504798.0,,1,1,50000.0,2
4010,1,1282979,PORTOGRUARO_VIA_ETTORE_TITO,Italy,ITA,45.777,12.866,2,45.69,12.831,Not Reported,200,2,39.593,4,Secondary,1,8801.852,20488232.0,4.033,0,1,200.0,2
4011,1,1282980,PORTOGRUARO_VIA_PIERO_DELLA_FRANCESCA,Italy,ITA,45.78,12.852,2,45.69,12.831,Not Reported,150,2,29.695,4,Secondary,1,11735.469,20488232.0,4.033,0,1,150.0,2
4012,1,1282981,PORTOGRUARO_VIA_VENEZIA,Italy,ITA,45.77,12.828,2,45.685,12.827,Not Reported,8700,2,1722.291,4,Advanced,1,345.739,20489434.0,6.872,0,1,8700.0,2
4013,1,1282982,PORTORUARO_VIA_ALDO_MORO_PEEP_6_1_RONCHI,Italy,ITA,45.779,12.861,2,45.69,12.831,Not Reported,450,2,89.084,4,Secondary,1,3912.49,20488232.0,4.033,0,1,450.0,2
4014,1,1282983,POSSAGNO_VIA_OLIVI,Italy,ITA,45.849,11.887,2,45.877,11.981,Not Reported,812,2,160.747,4,Secondary,1,42979.243,20483730.0,79.961,0,0,750.0,2
4015,1,1282984,BELLINZAGO_NOVARESE,Italy,ITA,45.56,8.698,2,45.498,8.765,Not Reported,28649,2,5679.148,1,Secondary,1,4902.943,20492600.0,322.209,0,0,36000.0,2
4016,1,1282985,BIELLA_PONDERANO_BIELLA_SUD,Italy,ITA,45.541,8.041,2,45.456,8.102,Not Reported,2297,2,8675.893,1,Secondary,1,58.192,20493560.0,5.743,0,0,53000.0,2
4017,1,1282986,FELTRE_STAZIONE_FERROVIARIA,Italy,ITA,46.011,11.914,2,45.981,11.956,Not Reported,35522,2,21424.83,1,Advanced,1,313.821,20482445.0,77.571,0,0,102600.0,2
