set_num,name,year,theme_id,num_parts,img_url,inventory_id,quantity,id,version,fig_num,name_num_parts_r,img_url_num_parts_r,_art_year
10039-1,Black Falcon's Fortress,2002,187,430,https://cdn.rebrickable.com/media/sets/10039-1.jpg,7474.0,1.0,12257,1,,,,2002
10040-1,Black Seas Barracuda,2002,148,916,https://cdn.rebrickable.com/media/sets/10040-1.jpg,,,4892,1,,,,2002
10041-1,Main Street,2003,50,640,https://cdn.rebrickable.com/media/sets/10041-1.jpg,8202.0,1.0,11136,1,,,,2003
10044-1,Windows and Doors,2002,254,44,https://cdn.rebrickable.com/media/sets/10044-1.jpg,,,2392,1,fig-012393,King Boo - Dark Purple Tongue,https://cdn.rebrickable.com/media/sets/fig-012393.jpg,2002
10045-1,Pillars and Beams,2002,254,13,https://cdn.rebrickable.com/media/sets/10045-1.jpg,,,11168,1,fig-002448,Axel with Backpack with Wide Lights,https://cdn.rebrickable.com/media/sets/fig-002448.jpg,2002
10047-1,Light Gray Arches,2002,254,36,https://cdn.rebrickable.com/media/sets/10047-1.jpg,,,10803,1,fig-011548,Iron Golem,https://cdn.rebrickable.com/media/sets/fig-011548.jpg,2002
10048-1,Small Wheels and Axles,2002,254,61,https://cdn.rebrickable.com/media/sets/10048-1.jpg,,,663,1,,,,2002
10049-1,Large Wheels and Axles,2002,254,31,https://cdn.rebrickable.com/media/sets/10049-1.jpg,5955.0,1.0,3511,1,fig-003705,"Droideka / Destroyer Droid, Reddish Brown Shell, Dark Bluish Gray Legs",https://cdn.rebrickable.com/media/sets/fig-003705.jpg,2002
10050-1,Gray Fences,2002,254,34,https://cdn.rebrickable.com/media/sets/10050-1.jpg,,,8187,1,fig-012480,Dwarf Spider Droid,https://cdn.rebrickable.com/media/sets/fig-012480.jpg,2002
10054-1,Black Slopes 33 3 x 2 and 3 x 4,2003,254,68,https://cdn.rebrickable.com/media/sets/10054-1.jpg,,,13634,1,,,,2003
10056-1,White Plates 2 x n,2002,254,56,https://cdn.rebrickable.com/media/sets/10056-1.jpg,,,2901,1,fig-012407,Dorrie,https://cdn.rebrickable.com/media/sets/fig-012407.jpg,2002
10061-1,Black Plates 1 x n,2002,254,84,https://cdn.rebrickable.com/media/sets/10061-1.jpg,,,4103,1,,,,2002
10066-1,Castle Accessories,2002,255,41,https://cdn.rebrickable.com/media/sets/10066-1.jpg,,,6575,1,fig-011694,Boom Boom,https://cdn.rebrickable.com/media/sets/fig-011694.jpg,2002
10067-1,Mini-Fig Headgear,2002,254,53,https://cdn.rebrickable.com/media/sets/10067-1.jpg,,,6113,1,fig-012234,Desert Pokey,https://cdn.rebrickable.com/media/sets/fig-012234.jpg,2002
10068-1,Santa Claus,2002,227,39,https://cdn.rebrickable.com/media/sets/10068-1.jpg,12121.0,1.0,2821,1,,,,2002
10069-1,Christmas Tree,2002,227,33,https://cdn.rebrickable.com/media/sets/10069-1.jpg,12121.0,1.0,1320,1,fig-012972,Nabbit,https://cdn.rebrickable.com/media/sets/fig-012972.jpg,2002
10073-1,Bushes,2003,256,130,https://cdn.rebrickable.com/media/sets/10073-1.jpg,,,15349,1,,,,2003
10076-1,TECHNIC Gear Wheels,2002,256,40,https://cdn.rebrickable.com/media/sets/10076-1.jpg,5955.0,1.0,10304,1,,,,2002
10077-1,TECHNIC Motor,2003,256,55,https://cdn.rebrickable.com/media/sets/10077-1.jpg,,,12031,1,,,,2003
10090-1,Turkey,2003,231,54,https://cdn.rebrickable.com/media/sets/10090-1.jpg,,,10532,1,fig-012440,Zebe,https://cdn.rebrickable.com/media/sets/fig-012440.jpg,2003
10106-1,Snowflake,2006,227,107,https://cdn.rebrickable.com/media/sets/10106-1.jpg,,,12810,1,,,,2006
10111-1,Foliferous Tree,2001,254,10,https://cdn.rebrickable.com/media/sets/10111-1.jpg,,,14832,1,fig-000026,Firox,https://cdn.rebrickable.com/media/sets/fig-000026.jpg,2001
10115-1,Jumper Bricks,2001,254,80,https://cdn.rebrickable.com/media/sets/10115-1.jpg,,,2854,1,,,,2001
101-2,Imagination Set 1,1971,366,298,https://cdn.rebrickable.com/media/sets/101-2.jpg,,,25446,1,,,,1971
10123-1,Cloud City,2003,171,707,https://cdn.rebrickable.com/media/sets/10123-1.jpg,,,11846,1,,,,2003
10124-1,Wright Flyer,2003,673,663,https://cdn.rebrickable.com/media/sets/10124-1.jpg,14812.0,1.0,10576,1,,,,2003
10127-1,NHL Action Set with Stickers,2003,461,59,https://cdn.rebrickable.com/media/sets/10127-1.jpg,2382.0,2.0,1409,1,fig-011091,Chain Chomp,https://cdn.rebrickable.com/media/sets/fig-011091.jpg,2003
10128-1,Train Level Crossing,2003,105,327,https://cdn.rebrickable.com/media/sets/10128-1.jpg,,,61,1,,,,2003
10129-1,Rebel Snowspeeder,2003,171,1457,https://cdn.rebrickable.com/media/sets/10129-1.jpg,,,4472,1,,,,2003
10131-1,TIE Fighter Collection,2004,171,685,https://cdn.rebrickable.com/media/sets/10131-1.jpg,2488.0,1.0,13769,1,,,,2004
10132-1,Motorized Hogwarts Express,2004,246,713,https://cdn.rebrickable.com/media/sets/10132-1.jpg,6050.0,1.0,10570,1,,,,2004
10133-1,Burlington Northern Santa Fe Locomotive,2004,236,409,https://cdn.rebrickable.com/media/sets/10133-1.jpg,,,11260,1,,,,2004
10134-1,Y-wing Attack Starfighter,2004,171,1490,https://cdn.rebrickable.com/media/sets/10134-1.jpg,,,8087,1,,,,2004
10135-1,Holiday Decoration Kit,2004,500,282,https://cdn.rebrickable.com/media/sets/10135-1.jpg,,,29241,1,,,,2004
10143-1,Death Star II,2005,171,3461,https://cdn.rebrickable.com/media/sets/10143-1.jpg,,,3408,1,,,,2005
10144-1,Sandcrawler,2005,171,1682,https://cdn.rebrickable.com/media/sets/10144-1.jpg,,,6259,1,,,,2005
10145-1,Assorted Light Gray Bricks,2004,254,124,https://cdn.rebrickable.com/media/sets/10145-1.jpg,69977.0,1.0,11297,1,,,,2004
1015-1,Letters Large,1982,516,192,https://cdn.rebrickable.com/media/sets/1015-1.jpg,,,123326,1,,,,1982
10151-1,Hot Rod,2004,278,422,https://cdn.rebrickable.com/media/sets/10151-1.jpg,,,13955,1,,,,2004
