call_sign,frequency,city,licensee,format,state,facility_id,service,licensee_call_sign_r,status,details
WTCW,920.0,Whitesburg,"T.C.W. Broadcasting, Inc.",Country,Kentucky,,,,,
WTHL,90.5,Somerset,Somerset Educational Broadcasting Foundation,Christian,Kentucky,,,,,
WTKY,1370.0,Tompkinsville,"Frank Keeton Aircasters, Inc.",Country,Kentucky,,,,,
WTKY-FM,92.1,Tompkinsville,"Frank Keeton Aircasters, Inc.",Country,Kentucky,,,,,
WTLO,1480.0,Somerset,"F.T.G. Broadcasting, Inc.",Adult standards,Kentucky,,,,,
WTRT,88.1,Benton,"Heartland Ministries, Inc.",Christian,Kentucky,,,,,
WTTL,1310.0,Madisonville,"Madisonville CBC, Inc.",Classic hits,Kentucky,,,,,
WTTL-FM,106.9,Madisonville,"Madisonville CBC, Inc.",Adult contemporary,Kentucky,,,,,
WTUK,105.1,Harlan,Eastern Broadcasting Company,Country,Kentucky,,,,,
WUBT,101.1,Russellville,"iHM Licenses, LLC",Urban contemporary,Kentucky,34387.0,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
WUCO,1550.0,Morganfield,"Henson Media, Inc.",Sports,Kentucky,,,,,
WUGO,99.7,Grayson,"Carter County Broadcasting Co., Inc.",Adult contemporary,Kentucky,,,,,
WUHU,107.1,Smiths Grove,"Forever Communications, Inc.",Top 40 (CHR),Kentucky,,,,,
WUIC-LP,102.5,Wallins Creek,"Torstrick Ministries, Inc.",Christian,Kentucky,,,,,
WUKY,91.3,Lexington,"Board of Trustees, University of Kentucky",Adult album alternative (Indie rock)/NPR,Kentucky,,,,,
WULF,94.3,Hardinsburg,"Skytower Communications – 94.3, LLC",Country,Kentucky,,,,,
WUOL-FM,90.5,Louisville,"Kentucky Public Radio, Inc.",Classical,Kentucky,69113.0,FM,"KENTUCKY PUBLIC RADIO, INC.",LICENSED,Click for Details
WVCT,91.5,Keavy,Victory Training School Corp.,Christian,Kentucky,,,,,
WVEZ,106.9,St. Matthews,"SM-WVEZ, LLC",Hot adult contemporary,Kentucky,53595.0,FM,"SM-WVEZ, LLC",LICENSED,Click for Details
WVHM,90.5,Benton,"Heartland Ministries, Inc.",Southern gospel,Kentucky,,,,,
WVJS,1420.0,Owensboro,"Hancock Communications, Inc.",Oldies,Kentucky,,,,,
WVKY,101.7,Shelbyville,"Southern Belle, LLC",Country,Kentucky,,,,,
WVLC,99.9,Mannsville,"Shoreline Communications, Inc.",Country,Kentucky,,,,,
WVLE,99.3,Scottsville,"Skytower Communications Group, LLC",Soft adult contemporary,Kentucky,,,,,
WVLK,590.0,Lexington,Cumulus Licensing LLC,News/Talk,Kentucky,,,,,
WVLK-FM,92.9,Lexington,Cumulus Licensing LLC,Country,Kentucky,,,,,
WVPK-LP,107.7,Paducah,"St. Johns the Evangelist Family Center, Inc.",Religious Teaching,Kentucky,,,,,
WVRB,95.3,Wilmore,Educational Media Foundation,Christian adult contemporary (K-Love),Kentucky,,,,,
WVVR,100.3,Hopkinsville,"Saga Communications of Tuckessee, LLC",Country,Kentucky,,,,,
WWAG,107.9,Mckee,"Dandy Broadcasting, Inc.",Country,Kentucky,,,,,
WWBZ-LP,102.5,Hyden,Bohica,Variety,Kentucky,,,,,
WWEL,103.9,London,"F.T.G. Broadcasting, Inc.",Adult hits,Kentucky,,,,,
WWGY,99.3,Fulton,"Forever South Licenses, LLC",Country,Kentucky,,,,,
WWHR,91.7,Bowling Green,Western Kentucky University,College Progressive,Kentucky,,,,,
WWJD,91.7,Pippa Passes,Alice Lloyd College,Contemporary Christian,Kentucky,,,,,
WWKN,99.1,Morgantown,"Newberry Broadcasting, Inc.",Classic hits,Kentucky,,,,,
WWKU,1450.0,Plum Springs,"Soky Radio, LLC",Sports,Kentucky,,,,,
WWKY,990.0,Winchester,"Gateway Radio Work, Inc.",Christian,Kentucky,,,,,
WWKY-FM,104.9,Providence,"Caldwell County CBC, Inc.",Country,Kentucky,,,,,
WWLT,103.1,Manchester,Educational Media Foundation,Christian adult contemporary (K-Love),Kentucky,,,,,
WWQB,102.3,Westwood,"Serge Martin Enterprises, Inc.",Classic hits,Kentucky,,,,,
WWTF,1580.0,Georgetown,"iHM Licenses, LLC",Alternative rock,Kentucky,,,,,
WWXL,1450.0,Manchester,Choice Radio Corporation,Sports,Kentucky,,,,,
WWZB-LP,95.1,Manchester,Wolfe Communications,Variety,Kentucky,,,,,
WXBC,104.3,Hardinsburg,"Breckinridge Broadcasting Co., Inc.",Classic country,Kentucky,,,,,
WXCM,97.1,Whitesville,"Hancock Communications, Inc.",Active rock,Kentucky,,,,,
WXCN-LP,99.7,Lexington,"Lexington Christian Network, Inc.",Religious,Kentucky,,,,,
WXKQ-FM,103.9,Whitesburg,"T.C.W. Broadcasting, Inc.",Adult contemporary,Kentucky,,,,,
WXKY,96.3,Stanford,Educational Media Foundation,Christian adult contemporary (K-Love),Kentucky,,,,,
WXKZ-FM,105.3,Prestonsburg,Adam D. Gearheart,Oldies,Kentucky,,,,,
WXLN-LP,93.3,Shelbyville,Bullock's Christian Broadcasting Corporation,Religious,Kentucky,,,,,
WXLR,104.9,Harold,Adam D. Gearheart,Classic rock,Kentucky,,,,,
WXMA,102.3,Louisville,Alpha Media Licensee LLC,Soft adult contemporary,Kentucky,,,,,
WXMZ,99.9,Hartford,Radio Active Media,Oldies,Kentucky,,,,,
WXND-LP,100.9,Louisville,"Xtendsound, Inc",Variety,Kentucky,,,,,
WXOX-LP,97.1,Louisville,"Art FM, Inc.",Variety,Kentucky,,,,,
WXYR-LP,104.5,Monticello,"Genesis Appalachian Project, Inc.",Contemporary Christian,Kentucky,,,,,
WXZZ,103.3,Georgetown,Cumulus Licensing LLC,Active rock,Kentucky,,,,,
WYDX-LP,104.1,Frankfort,Woods and Waters Land Trust,,Kentucky,,,,,
WYGE,92.3,London,"Ethel Huff Broadcasting, LLC",Christian,Kentucky,,,,,
WYGH,1440.0,Paris,"Hammond Broadcasting, Inc.",Religious / Gospel,Kentucky,,,,,
WYGY,97.3,Fort Thomas,"Cincinnati FCC License Sub, LLC",Country,Kentucky,40915.0,FM,"CINCINNATI FCC LICENSE SUB, LLC",LICENSED,Click for Details
WYHH,89.7,Highland Heights,"Bible Broadcasting Network, Inc.",Conservative religious (Bible Broadcasting Network),Kentucky,4280.0,FM,"BIBLE BROADCASTING NETWORK, INC.",LICENSED,Click for Details
WYJR-LP,95.5,Middlesboro,Middlesboro Board of Education,Classic rock,Kentucky,,,,,
WYKY,106.1,Science Hill,"F.T.G. Broadcasting, Inc.",Adult contemporary,Kentucky,170490.0,FM,"F.T.G. BROADCASTING, INC.",LICENSED,Click for Details
WYMC,1430.0,Mayfield,"JDM Communications, Inc.",Oldies/Full service,Kentucky,,,,,
WYWY,950.0,Barbourville,Choice Radio Corporation,Religious,Kentucky,,,,,
WZLK,107.5,Virgie,Mountain Top Media LLC,Top 40 (CHR),Kentucky,,,,,
WZNN,96.1,Stamping Ground,"Clarity Communications, Inc.",Sports,Kentucky,,,,,
WZQQ,97.9,Hyden,"Leslie County Broadcasting, Inc.",Classic rock,Kentucky,,,,,
WZVK,89.3,Glasgow,"Christian Family Media Ministries, Inc.",Christian adult contemporary,Kentucky,,,,,
WZXI,1280.0,Lancaster,Eastern Sky LLC,Talk,Kentucky,,,,,
WZYK,94.7,Clinton,"Bristol Broadcasting Company, Inc.",Adult contemporary,Kentucky,,,,,
WZZL,106.7,Reidland,"Withers Broadcasting Company of Paducah, LLC",Mainstream rock,Kentucky,,,,,
WZZP,97.5,Hopkinsville,"Saga Communications of Tuckessee, LLC",Mainstream rock,Kentucky,,,,,
KAGY,1510.0,Port Sulphur,"Spotlight Broadcasting of New Orleans, LLC",Swamp pop,Louisiana,,,,,
KAJD-LP,96.5,Baton Rouge,"City of Joy, Inc.",Urban Gospel,Louisiana,,,,,
KAJN-FM,102.9,Crowley,"Agape Broadcasters, Inc.",Contemporary Christian,Louisiana,,,,,
KANE,1240.0,New Iberia,"Coastal Broadcasting of Lafourche, L.L.C.",Oldies,Louisiana,,,,,
KAOK,1400.0,Lake Charles,Cumulus Licensing LLC,News/Talk,Louisiana,,,,,
KAPB-FM,97.7,Marksville,Bontemps Media Services LLC,Classic country,Louisiana,,,,,
