gutenberg_id,subject_type,subject
57076,lcc,PT
71815,lcsh,Short stories
14133,lcsh,Scotland -- History -- 18th century -- Fiction
46831,lcsh,Poetry
54647,lcc,PZ
25874,lcsh,Birds -- Periodicals
68764,lcsh,"Delaunay, Pierre-Marie, 1755-1814. Motion d'ordre sur l'organisation des postes et messageries"
52863,lcc,DA
65850,lcsh,Spy stories
65192,lcsh,Hygiene -- Popular works
44707,lcsh,English wit and humor -- Periodicals
3253,lcsh,Illinois -- Politics and government -- To 1865
26183,lcsh,Comparative literature -- German and English
54309,lcc,BS
63304,lcsh,Revolutionaries -- Fiction
49945,lcsh,Apparitions -- Juvenile fiction
57212,lcsh,"Confederate States of America. Army. Tennessee Infantry Regiment, 1st"
24571,lcsh,Behavior -- Fiction
67496,lcsh,Railroad stories
26766,lcc,PR
7249,lcsh,Time travel -- Fiction
35987,lcsh,South America -- Juvenile fiction
5445,lcsh,Egypt -- History -- To 332 B.C. -- Fiction
36456,lcc,QC
46178,lcc,PR
23539,lcsh,"Sea stories, American"
8624,lcsh,"Detective and mystery stories, English"
48393,lcsh,"World War, 1914-1918 -- Humor, caricatures, etc."
33,lcsh,"Boston (Mass.) -- History -- Colonial period, ca. 1600-1775 -- Fiction"
18508,lcsh,Yellow fever -- Fiction
29346,lcc,SH
67474,lcsh,Fishing
37457,lcsh,Postal stationery -- Canada
68315,lcsh,Chloroform
21898,lcsh,"Children's periodicals, American"
35379,lcsh,African Americans -- Missouri -- Biography
21417,lcsh,"United States -- History, Military -- To 1900"
9995,lcsh,Puerto Rico -- Description and travel
15546,lcsh,Adventure stories
21607,lcsh,Castaways -- Juvenile fiction
50015,lcsh,"Lambaréné (Moyen-Ogooué, Gabon)"
3475,lcsh,College graduates -- Fiction
46228,lcsh,Fathers and daughters -- Fiction
50764,lcsh,Gardens -- Design
25490,lcc,PZ
74812,lcsh,"United States -- History -- Civil War, 1861-1865 -- Hospitals"
11801,lcc,Z
5802,lcsh,San Francisco Committee of Vigilance of 1856
67590,lcc,PS
19242,lcsh,"Bahíyyih, Khánum"
42665,lcsh,Good and evil -- Fiction
23699,lcsh,Short stories
2003,lcsh,English poetry
49441,lcc,BV
73550,lcsh,Older men -- Fiction
1091,lcsh,Heroes
66140,lcc,PS
7704,lcsh,Death -- Fiction
69366,lcc,PT
1302,lcsh,Books -- Conservation and restoration
31783,lcsh,"Wilson's Cavalry Raid, 1865"
52203,lcsh,"Almanacs, English -- England -- London"
14783,lcsh,Roman law -- Sources
25868,lcc,PZ
69006,lcsh,Middle West -- Fiction
55826,lcsh,Women in the theater -- United States -- Juvenile fiction
70630,lcsh,Thesis (Ph. D.)
878,lcsh,Tramps -- New England
53326,lcsh,British -- India -- Fiction
11671,lcc,PS
58274,lcsh,Shipwrecks -- Québec (Province) -- Saint Lawrence River Estuary
75509,lcsh,Girls -- Fiction
66862,lcc,PS
6928,lcsh,"Bible -- Criticism, interpretation, etc."
27551,lcsh,Generals -- Tunisia -- Carthage (Extinct city) -- Biography -- Juvenile literature
71381,lcsh,Fathers and daughters -- Fiction
37361,lcsh,"Michal Korybut Wisniowiecki, King of Poland, 1640-1673 -- Fiction"
36262,lcc,JC
61846,lcsh,Home missions -- Periodicals
59047,lcc,TX
49782,lcsh,Historical fiction
24119,lcsh,Farm life -- Fiction
40678,lcsh,Questions and answers -- Periodicals
15688,lcc,AP
10252,lcsh,Musicians -- Drama
64153,lcsh,French literature -- To 1500
40569,lcsh,London (England) -- Social life and customs -- Fiction
45289,lcc,PZ
45790,lcsh,Automobile travel
69336,lcsh,Shipwrecks -- Poetry
24178,lcsh,Conduct of life -- Early works to 1800
61300,lcsh,"Christmas stories, American"
62600,lcsh,Ballet -- Russia
65080,lcsh,Sailors -- Juvenile fiction
40319,lcsh,"Ward, Humphry, Mrs., 1851-1920"
59537,lcc,PT
11303,lcsh,Triangles (Interpersonal relations) -- Fiction
26016,lcc,PS
75380,lcc,PZ
50923,lcsh,Extraterrestrial beings -- Fiction
158,lcsh,Young women -- Fiction
12199,lcsh,French Americans -- Fiction
21033,lcc,E011
58513,lcc,PZ
1438,lcsh,England -- Fiction
57375,lcsh,Rajasthan (India) -- History
61201,lcsh,Tobacco farms -- Kentucky -- Fiction
28307,lcsh,Christmas stories
64021,lcc,AC
64259,lcc,PH
19243,lcsh,"Shoghi, Effendi, 1897-1957 -- Correspondence"
67117,lcsh,Iris (Eye) -- Surgery
877,lcsh,Short stories
10740,lcsh,New Thought
48351,lcc,PZ
43336,lcsh,Readers (Primary)
8090,lcc,DA
449,lcsh,Criminal psychology
70619,lcsh,"Literature, Medieval"
26706,lcsh,"United States. Army -- Handbooks, manuals, etc."
43575,lcc,DG
39324,lcsh,England -- Social life and customs -- Fiction
67493,lcc,TL
13445,lcsh,Finnish literature -- 19th century -- History and criticism
3868,lcc,DC
49487,lcsh,Adultery -- Fiction
29303,lcsh,Short stories
73163,lcsh,Russian fiction -- Translations into Finnish
2399,lcsh,Courts and courtiers -- Fiction
2311,lcc,DG
63345,lcc,TK
3239,lcsh,Adventure stories
68081,lcc,E740
64260,lcsh,English poetry -- Celtic authors
61072,lcc,PR
14972,lcsh,Greece -- Description and travel
47069,lcc,PQ
35995,lcsh,"Poets, English -- 19th century -- Biography"
19141,lcsh,Mars (Planet) -- Fiction
38828,lcc,DS
75416,lcsh,American literature -- History and criticism
44265,lcc,PT
46069,lcsh,Cathedrals -- France
22556,lcc,PR
66232,lcsh,Periodicals
1965,lcsh,Physicians -- Fiction
911,lcsh,Fishing villages -- Fiction
71644,lcc,PR
14630,lcc,PZ
4680,lcsh,South Carolina -- Fiction
34138,lcsh,Fiction
11901,lcsh,Siblings -- Fiction
19542,lcsh,Periodicals
5426,lcc,PS
35434,lcsh,Mountaineering
17979,lcsh,"Plants, Cultivated -- Periodicals"
35417,lcsh,Eugenics -- United States
8471,lcsh,"Twain, Mark, 1835-1910 -- Travel -- Mississippi River"
42856,lcc,PR
28951,lcsh,"United States -- History -- Civil War, 1861-1865 -- Regimental histories"
26732,lcsh,Women automobile drivers -- Fiction
39038,lcsh,"Dialogues, Latin (Medieval and modern) -- Translations into English"
54469,lcsh,German fiction -- 20th century
50018,lcc,PZ
73471,lcc,B
506,lcsh,Sisters -- Fiction
70942,lcsh,"Carberry, Letitia (Tish, fictitious character) -- Fiction"
30563,lcsh,Country life
6895,lcc,PZ
69268,lcsh,"Short stories, American"
13069,lcsh,Boys
12070,lcsh,"Children's stories, Dutch"
17606,lcc,E011
44462,lcsh,Electric apparatus and appliances -- Amateurs' manuals
15725,lcsh,Married women -- Fiction
17870,lcsh,Extraterrestrial beings -- Fiction
19757,lcsh,"Transportation, Automotive"
17703,lcsh,"Love stories, French -- Translations into English"
74557,lcc,PT
24463,lcc,PQ
7186,lcc,PR
3230,lcc,PZ
13953,lcsh,Austria -- History -- Habsburg dynasty (1273-1740) -- Fiction
67485,lcsh,Parent and child -- Juvenile fiction
57039,lcsh,Sea stories
67082,lcsh,Popular literature -- Periodicals
57617,lcc,PS
24805,lcsh,Pacific Area -- Social life and customs -- Fiction
45805,lcsh,"English drama -- Early modern and Elizabethan, 1500-1600"
3518,lcc,QH
68480,lcsh,Adventure stories
2782,lcsh,"Tell, Wilhelm -- Drama"
10875,lcc,PR
66202,lcsh,"Grey, Jane, Lady, 1537-1554 -- Fiction"
6938,lcsh,"Aragona, Tullia d', approximately 1510-1556 -- Criticism and interpretation"
458,lcc,PS
18497,lcsh,"World War, 1914-1918 -- Personal narratives"
26903,lcsh,Cattle -- Age determination
6391,lcc,DG
66879,lcc,PR
7862,lcsh,"United States -- History -- Civil War, 1861-1865 -- Juvenile fiction"
24402,lcsh,Botany
39346,lcc,E456
48251,lcc,PZ
59856,lcc,DA
39886,lcsh,Impressionism (Art)
42702,lcsh,Diary fiction
45514,lcsh,Gawain (Legendary character) -- Romances
41503,lcsh,Uncle Tom (Fictitious character)
74930,lcsh,Scotland -- History -- 19th century -- Fiction
47012,lcsh,Adventure stories -- Periodicals
14831,lcc,PZ
52845,lcsh,Guilt -- Fiction
49395,lcc,PT
22574,lcsh,Engraving
50353,lcsh,Sailing -- Juvenile fiction
56136,lcc,
34166,lcsh,Fiction
