year,icpsr_state_code,alphanumeric_state_code,state,votes,eligible_voters
2012,48,41,South Carolina,1981516.0,3486838
2012,37,42,South Dakota,368270.0,613190
2012,54,43,Tennessee,2478870.0,4736084
2012,49,44,Texas,,16119973
2012,67,45,Utah,1028786.0,1833339
2012,6,46,Vermont,301793.0,493355
2012,40,47,Virginia,3888186.0,5834676
2012,73,48,Washington,3172939.0,4822060
2012,56,49,West Virginia,,1447066
2012,25,50,Wisconsin,,4209370
2012,68,51,Wyoming,250701.0,425142
2010,0,0,United States,90912015.0,217551109
2010,41,1,Alabama,1503232.0,3472582
2010,81,2,Alaska,261128.0,493764
2010,61,3,Arizona,1750840.0,4209544
2010,42,4,Arkansas,789773.0,2081156
2010,71,5,California,10529134.0,22946053
2010,62,6,Colorado,1828323.0,3533054
2010,1,7,Connecticut,1153872.0,2512981
2010,11,8,Delaware,316754.0,646969
2010,55,9,District of Columbia,135846.0,458619
2010,43,10,Florida,5473787.0,12961184
2010,44,11,Georgia,2623035.0,6464845
2010,82,12,Hawaii,386302.0,959531
2010,63,13,Idaho,459079.0,1069446
2010,21,14,Illinois,3792770.0,8798829
2010,22,15,Indiana,1791832.0,4697111
2010,31,16,Iowa,1133429.0,2234516
2010,32,17,Kansas,857658.0,2011497
2010,51,18,Kentucky,1417995.0,3198093
2010,45,19,Louisiana,1298649.0,3249524
2010,2,20,Maine,580584.0,1038201
2010,52,21,Maryland,1868179.0,4001034
2010,3,22,Massachusetts,2319963.0,4693670
2010,23,23,Michigan,3268217.0,7245281
2010,33,24,Minnesota,2123369.0,3802677
2010,46,25,Mississippi,,2129334
2010,34,26,Missouri,1997271.0,4366435
2010,64,27,Montana,367096.0,758653
2010,35,28,Nebraska,503514.0,1301483
2010,65,29,Nevada,723515.0,1747288
2010,4,30,New Hampshire,461423.0,999918
2010,12,31,New Jersey,2200974.0,5834037
2010,66,32,New Mexico,630013.0,1408872
2010,13,33,New York,4763899.0,13135048
2010,47,34,North Carolina,2700706.0,6785463
2010,36,35,North Dakota,241039.0,516974
2010,24,36,Ohio,3956028.0,8571952
2010,53,37,Oklahoma,1043507.0,2666767
2010,72,38,Oregon,1487210.0,2760607
2010,14,39,Pennsylvania,4055336.0,9565822
2010,5,40,Rhode Island,346357.0,763534
2010,48,41,South Carolina,1365480.0,3388417
2010,37,42,South Dakota,323410.0,599507
2010,54,43,Tennessee,1620619.0,4622919
2010,49,44,Texas,5066957.0,15514007
2010,67,45,Utah,653274.0,1772934
2010,6,46,Vermont,243617.0,488942
2010,40,47,Virginia,2214505.0,5660589
2010,73,48,Washington,2565589.0,4724350
2010,56,49,West Virginia,536493.0,1442003
2010,25,50,Wisconsin,2185021.0,4172130
2010,68,51,Wyoming,190822.0,414536
2008,0,0,United States,132609063.0,213313508
2008,41,1,Alabama,2105622.0,3454510
2008,81,2,Alaska,327341.0,479429
2008,61,3,Arizona,2320851.0,4046075
2008,42,4,Arkansas,1095958.0,2071563
2008,71,5,California,13743177.0,22261504
2008,62,6,Colorado,2422236.0,3382959
2008,1,7,Connecticut,,2471082
2008,11,8,Delaware,413562.0,628200
2008,55,9,District of Columbia,266871.0,432566
2008,43,10,Florida,8453743.0,12687407
2008,44,11,Georgia,3940705.0,6281872
2008,82,12,Hawaii,456064.0,930067
2008,63,13,Idaho,667506.0,1029416
2008,21,14,Illinois,5578195.0,8681138
2008,22,15,Indiana,2805986.0,4653019
2008,31,16,Iowa,1543662.0,2216094
2008,32,17,Kansas,1264208.0,1991759
2008,51,18,Kentucky,1858578.0,3152629
2008,45,19,Louisiana,1979852.0,3205794
2008,2,20,Maine,744456.0,1036242
2008,52,21,Maryland,2661905.0,3925117
2008,3,22,Massachusetts,3102995.0,4612550
2008,23,23,Michigan,5039080.0,7229512
2008,33,24,Minnesota,2921147.0,3740142
2008,46,25,Mississippi,,2113347
2008,34,26,Missouri,2950504.0,4327572
2008,64,27,Montana,497599.0,741853
2008,35,28,Nebraska,811923.0,1274719
2008,65,29,Nevada,970019.0,1696831
2008,4,30,New Hampshire,719643.0,992226
2008,12,31,New Jersey,3910220.0,5776527
2008,66,32,New Mexico,833365.0,1362629
2008,13,33,New York,7721718.0,12948969
2008,47,34,North Carolina,4354571.0,6584302
2008,36,35,North Dakota,321133.0,504762
2008,24,36,Ohio,5773777.0,8513079
2008,53,37,Oklahoma,1474694.0,2619121
2008,72,38,Oregon,1845251.0,2700327
2008,14,39,Pennsylvania,6071357.0,9457942
2008,5,40,Rhode Island,475428.0,763608
2008,48,41,South Carolina,1927153.0,3311044
2008,37,42,South Dakota,387449.0,590720
2008,54,43,Tennessee,2618238.0,4563192
2008,49,44,Texas,,14929810
2008,67,45,Utah,971185.0,1700286
2008,6,46,Vermont,326822.0,482677
2008,40,47,Virginia,3753059.0,5555415
2008,73,48,Washington,3071587.0,4561163
2008,56,49,West Virginia,731691.0,1430439
2008,25,50,Wisconsin,2997086.0,4120694
2008,68,51,Wyoming,256035.0,405732
2006,0,0,United States,85769132.0,207643594
2006,41,1,Alabama,,3338467
2006,81,2,Alaska,238307.0,465169
2006,61,3,Arizona,1553032.0,3923786
2006,42,4,Arkansas,780409.0,2004193
2006,71,5,California,8899059.0,21582217
2006,62,6,Colorado,1586105.0,3297308
2006,1,7,Connecticut,1162391.0,2437559
2006,11,8,Delaware,258053.0,601341
2006,55,9,District of Columbia,122356.0,426612
2006,43,10,Florida,4884544.0,12187858
2006,44,11,Georgia,2143845.0,6115331
2006,82,12,Hawaii,348988.0,908925
2006,63,13,Idaho,458927.0,993010
2006,21,14,Illinois,3586292.0,8667453
2006,22,15,Indiana,1719351.0,4559294
2006,31,16,Iowa,1071509.0,2178322
2006,32,17,Kansas,864083.0,1948850
2006,51,18,Kentucky,1370062.0,3100828
2006,45,19,Louisiana,954896.0,3043573
2006,2,20,Maine,,1016287
2006,52,21,Maryland,1809237.0,3833349
2006,3,22,Massachusetts,2243835.0,4552794
2006,23,23,Michigan,3852008.0,7292624
2006,33,24,Minnesota,2217552.0,3667707
2006,46,25,Mississippi,,2077420
2006,34,26,Missouri,2178278.0,4253541
2006,64,27,Montana,411061.0,720447
2006,35,28,Nebraska,610499.0,1251027
2006,65,29,Nevada,586274.0,1579222
2006,4,30,New Hampshire,418550.0,975281
2006,12,31,New Jersey,2315643.0,5701033
2006,66,32,New Mexico,568597.0,1320285
2006,13,33,New York,4703830.0,12878632
2006,47,34,North Carolina,2036451.0,6264630
2006,36,35,North Dakota,220479.0,486142
2006,24,36,Ohio,4184072.0,8461211
2006,53,37,Oklahoma,,2547224
2006,72,38,Oregon,1399650.0,2628937
2006,14,39,Pennsylvania,,9283762
2006,5,40,Rhode Island,392882.0,754219
2006,48,41,South Carolina,1117311.0,3152046
2006,37,42,South Dakota,341105.0,580592
2006,54,43,Tennessee,1868363.0,4433921
2006,49,44,Texas,,14255313
2006,67,45,Utah,582561.0,1664323
2006,6,46,Vermont,263025.0,478247
2006,40,47,Virginia,2398589.0,5385522
2006,73,48,Washington,2085074.0,4403981
2006,56,49,West Virginia,473014.0,1401490
2006,25,50,Wisconsin,2183155.0,4064432
2006,68,51,Wyoming,196217.0,379127
2004,0,0,United States,123535883.0,203483455
2004,41,1,Alabama,1890317.0,3292608
2004,81,2,Alaska,314502.0,452124
2004,61,3,Arizona,2038069.0,3717055
2004,42,4,Arkansas,1070573.0,1969208
2004,71,5,California,12589367.0,21132533
2004,62,6,Colorado,2148036.0,3192647
2004,1,7,Connecticut,1607808.0,2429634
2004,11,8,Delaware,377407.0,584817
2004,55,9,District of Columbia,230105.0,419142
2004,43,10,Florida,7640319.0,11811921
2004,44,11,Georgia,3317336.0,5878186
2004,82,12,Hawaii,431662.0,889540
2004,63,13,Idaho,612786.0,946160
2004,21,14,Illinois,5350493.0,8576696
2004,22,15,Indiana,2512142.0,4504260
2004,31,16,Iowa,1521966.0,2156389
2004,32,17,Kansas,1213108.0,1928764
2004,51,18,Kentucky,1816867.0,3057741
2004,45,19,Louisiana,1956590.0,3182762
2004,2,20,Maine,751519.0,1003792
2004,52,21,Maryland,2395791.0,3797264
2004,3,22,Massachusetts,2927455.0,4533859
2004,23,23,Michigan,4875692.0,7263024
2004,33,24,Minnesota,2842912.0,3609185
2004,46,25,Mississippi,,2068766
2004,34,26,Missouri,2764635.0,4180960
2004,64,27,Montana,456096.0,699114
2004,35,28,Nebraska,792906.0,1236522
2004,65,29,Nevada,831563.0,1501437
2004,4,30,New Hampshire,683672.0,956422
2004,12,31,New Jersey,3638153.0,5663201
2004,66,32,New Mexico,775301.0,1282767
2004,13,33,New York,7448266.0,12738056
2004,47,34,North Carolina,3552449.0,6055771
2004,36,35,North Dakota,316049.0,482722
2004,24,36,Ohio,5722443.0,8427696
2004,53,37,Oklahoma,,2510823
2004,72,38,Oregon,1851671.0,2550887
2004,14,39,Pennsylvania,,9221962
2004,5,40,Rhode Island,440228.0,747046
2004,48,41,South Carolina,1626720.0,3055098
2004,37,42,South Dakota,394930.0,569161
2004,54,43,Tennessee,2456610.0,4328446
2004,49,44,Texas,,13796256
2004,67,45,Utah,942010.0,1574463
2004,6,46,Vermont,314220.0,470754
2004,40,47,Virginia,3223156.0,5277156
2004,73,48,Washington,2883499.0,4272914
2004,56,49,West Virginia,769645.0,1396545
2004,25,50,Wisconsin,3016288.0,4006948
2004,68,51,Wyoming,245789.0,370785
2002,0,0,United States,80295249.0,198381939
2002,41,1,Alabama,,3285643
2002,81,2,Alaska,232852.0,427337
2002,61,3,Arizona,1255615.0,3419481
2002,42,4,Arkansas,814176.0,1951568
2002,71,5,California,7738821.0,20733192
2002,62,6,Colorado,1424029.0,3056465
2002,1,7,Connecticut,1090756.0,2418037
2002,11,8,Delaware,,564938
2002,55,9,District of Columbia,,412062
2002,43,10,Florida,5143674.0,11194391
2002,44,11,Georgia,,5731983
2002,82,12,Hawaii,385462.0,872992
2002,63,13,Idaho,416533.0,921256
2002,21,14,Illinois,3651808.0,8540965
2002,22,15,Indiana,1562037.0,4494191
2002,31,16,Iowa,1040201.0,2136683
2002,32,17,Kansas,851966.0,1897261
2002,51,18,Kentucky,,3044267
2002,45,19,Louisiana,1267225.0,3163663
2002,2,20,Maine,,995056
2002,52,21,Maryland,1721626.0,3678346
2002,3,22,Massachusetts,2220301.0,4458820
2002,23,23,Michigan,3219864.0,7147888
2002,33,24,Minnesota,,3518184
2002,46,25,Mississippi,,2047426
2002,34,26,Missouri,,4116889
2002,64,27,Montana,340272.0,684572
2002,35,28,Nebraska,,1204512
2002,65,29,Nevada,512433.0,1391100
2002,4,30,New Hampshire,453078.0,930362
2002,12,31,New Jersey,2161105.0,5549726
2002,66,32,New Mexico,502230.0,1255086
2002,13,33,New York,4690968.0,12679865
2002,47,34,North Carolina,,5876705
2002,36,35,North Dakota,237224.0,476251
2002,24,36,Ohio,3356285.0,8322521
2002,53,37,Oklahoma,,2513143
2002,72,38,Oregon,1293756.0,2495739
2002,14,39,Pennsylvania,,9143001
2002,5,40,Rhode Island,337027.0,741776
2002,48,41,South Carolina,,2982810
2002,37,42,South Dakota,340407.0,556154
2002,54,43,Tennessee,,4151834
2002,49,44,Texas,4552059.0,13181016
2002,67,45,Utah,568290.0,1504529
2002,6,46,Vermont,232993.0,471403
2002,40,47,Virginia,1661915.0,5138270
2002,73,48,Washington,1808720.0,4162032
2002,56,49,West Virginia,440156.0,1398124
2002,25,50,Wisconsin,,3908088
2002,68,51,Wyoming,188028.0,370488
2000,0,0,United States,107390107.0,194331436
2000,41,1,Alabama,,3241682
2000,81,2,Alaska,287825.0,419111
2000,61,3,Arizona,1559520.0,3357701
2000,42,4,Arkansas,,1925961
2000,71,5,California,11142843.0,19685258
2000,62,6,Colorado,,3026316
2000,1,7,Connecticut,1474103.0,2357687
2000,11,8,Delaware,,554863
2000,55,9,District of Columbia,,416696
2000,43,10,Florida,6138765.0,10667193
2000,44,11,Georgia,2684951.0,5639668
2000,82,12,Hawaii,371113.0,832642
2000,63,13,Idaho,516647.0,877406
2000,21,14,Illinois,4932192.0,8432600
2000,22,15,Indiana,2246348.0,4424909
2000,31,16,Iowa,,2082950
2000,32,17,Kansas,1092716.0,1927950
2000,51,18,Kentucky,1568058.0,2955628
2000,45,19,Louisiana,1776133.0,3130267
2000,2,20,Maine,,969292
2000,52,21,Maryland,2036455.0,3649631
2000,3,22,Massachusetts,2736006.0,4517052
2000,23,23,Michigan,4279299.0,7070702
2000,33,24,Minnesota,2458303.0,3506432
2000,46,25,Mississippi,,2024650
2000,34,26,Missouri,,4052255
2000,64,27,Montana,417916.0,667525
2000,35,28,Nebraska,707223.0,1224178
2000,65,29,Nevada,613360.0,1346116
2000,4,30,New Hampshire,578656.0,890622
2000,12,31,New Jersey,3293378.0,5601788
2000,66,32,New Mexico,615607.0,1234088
2000,13,33,New York,6960215.0,12380208
2000,47,34,North Carolina,3015964.0,5744241
2000,36,35,North Dakota,292249.0,477968
2000,24,36,Ohio,4795989.0,8295592
2000,53,37,Oklahoma,,2475220
2000,72,38,Oregon,1559215.0,2364402
2000,14,39,Pennsylvania,,9086897
2000,5,40,Rhode Island,412074.0,753877
2000,48,41,South Carolina,1433533.0,2944326
2000,37,42,South Dakota,322159.0,548498
2000,54,43,Tennessee,2100241.0,4162996
2000,49,44,Texas,6407637.0,13033081
2000,67,45,Utah,784582.0,1431668
2000,6,46,Vermont,297146.0,459174
2000,40,47,Virginia,2789808.0,5069265
2000,73,48,Washington,2517028.0,4098044
2000,56,49,West Virginia,,1390365
2000,25,50,Wisconsin,,3842044
2000,68,51,Wyoming,221685.0,361078
1998,0,0,United States,74825832.0,190419570
1998,41,1,Alabama,,3202052
1998,81,2,Alaska,227156.0,408758
1998,61,3,Arizona,1037550.0,3232815
1998,42,4,Arkansas,,1882181
1998,71,5,California,8617649.0,19264556
1998,62,6,Colorado,,2879973
1998,1,7,Connecticut,1022453.0,2340956
1998,11,8,Delaware,,540896
1998,55,9,District of Columbia,137523.0,398318
1998,43,10,Florida,4070262.0,10590870
1998,44,11,Georgia,1842145.0,5326337
1998,82,12,Hawaii,412520.0,832172
1998,63,13,Idaho,386720.0,843914
1998,21,14,Illinois,3541379.0,8285614
1998,22,15,Indiana,1618689.0,4348730
1998,31,16,Iowa,973032.0,2112132
1998,32,17,Kansas,743288.0,1873438
1998,51,18,Kentucky,1215053.0,2930780
1998,45,19,Louisiana,990243.0,3097660
1998,2,20,Maine,,943577
1998,52,21,Maryland,1556994.0,3571087
1998,3,22,Massachusetts,1935277.0,4430939
1998,23,23,Michigan,3143432.0,7005306
1998,33,24,Minnesota,2105343.0,3378089
1998,46,25,Mississippi,,1995283
1998,34,26,Missouri,,3978146
1998,64,27,Montana,338733.0,653998
1998,35,28,Nebraska,581775.0,1197953
1998,65,29,Nevada,440042.0,1233386
1998,4,30,New Hampshire,330555.0,878508
1998,12,31,New Jersey,1894496.0,5505229
1998,66,32,New Mexico,517355.0,1199320
1998,13,33,New York,4989877.0,12263356
1998,47,34,North Carolina,,5624292
1998,36,35,North Dakota,217584.0,475629
1998,24,36,Ohio,3534782.0,8237516
1998,53,37,Oklahoma,,2415036
1998,72,38,Oregon,1160400.0,2370381
1998,14,39,Pennsylvania,,9075961
1998,5,40,Rhode Island,309835.0,723772
1998,48,41,South Carolina,1092430.0,2825173
1998,37,42,South Dakota,266355.0,534711
1998,54,43,Tennessee,1026017.0,4092745
1998,49,44,Texas,,12490423
1998,67,45,Utah,506553.0,1381989
1998,6,46,Vermont,224382.0,444772
1998,40,47,Virginia,,4900523
1998,73,48,Washington,1939421.0,3930400
1998,56,49,West Virginia,405139.0,1388176
1998,25,50,Wisconsin,,3801514
1998,68,51,Wyoming,178401.0,350136
1996,0,0,United States,,186347044
1996,41,1,Alabama,,3144249
1996,81,2,Alaska,245212.0,404180
1996,61,3,Arizona,1431342.0,3079908
1996,42,4,Arkansas,,1844689
1996,71,5,California,10263490.0,18644593
1996,62,6,Colorado,,2770252
1996,1,7,Connecticut,1410746.0,2337160
1996,11,8,Delaware,277418.0,528630
1996,55,9,District of Columbia,189210.0,398839
1996,43,10,Florida,5444245.0,10219294
1996,44,11,Georgia,2374650.0,5181708
1996,82,12,Hawaii,370230.0,820055
1996,63,13,Idaho,508030.0,825329
1996,21,14,Illinois,4418270.0,8215662
1996,22,15,Indiana,2195224.0,4302745
1996,31,16,Iowa,1251983.0,2098332
1996,32,17,Kansas,1073520.0,1856507
1996,51,18,Kentucky,1419592.0,2880808
1996,45,19,Louisiana,1804640.0,3087693
1996,2,20,Maine,,929970
1996,52,21,Maryland,1793991.0,3530148
1996,3,22,Massachusetts,2600278.0,4385268
1996,23,23,Michigan,3912261.0,6954059
1996,33,24,Minnesota,2211161.0,3319509
1996,46,25,Mississippi,,1949309
1996,34,26,Missouri,,3919885
1996,64,27,Montana,417232.0,645052
1996,35,28,Nebraska,686749.0,1188034
1996,65,29,Nevada,467657.0,1134065
1996,4,30,New Hampshire,513700.0,855287
1996,12,31,New Jersey,3105110.0,5456334
1996,66,32,New Mexico,579763.0,1172262
1996,13,33,New York,6439129.0,12175850
1996,47,34,North Carolina,,5435970
1996,36,35,North Dakota,271850.0,475898
1996,24,36,Ohio,4638108.0,8185999
1996,53,37,Oklahoma,1218248.0,2368311
1996,72,38,Oregon,1399180.0,2309051
1996,14,39,Pennsylvania,,9063470
1996,5,40,Rhode Island,,717041
1996,48,41,South Carolina,1203486.0,2731064
1996,37,42,South Dakota,329316.0,529793
1996,54,43,Tennessee,,3984092
1996,49,44,Texas,,12072149
1996,67,45,Utah,691016.0,1326919
1996,6,46,Vermont,261469.0,435687
1996,40,47,Virginia,2468229.0,4811632
1996,73,48,Washington,2293895.0,3829308
1996,56,49,West Virginia,653331.0,1386621
1996,25,50,Wisconsin,,3763240
1996,68,51,Wyoming,215844.0,345112
1994,0,0,United States,,182623348
1994,41,1,Alabama,,3095745
1994,81,2,Alaska,216668.0,399435
1994,61,3,Arizona,1153724.0,2892171
1994,42,4,Arkansas,,1801161
1994,71,5,California,8900593.0,18479124
1994,62,6,Colorado,1173130.0,2648684
1994,1,7,Connecticut,1163829.0,2335579
1994,11,8,Delaware,201560.0,512941
1994,55,9,District of Columbia,186316.0,411886
1994,43,10,Florida,4305340.0,9810247
1994,44,11,Georgia,,4978431
1994,82,12,Hawaii,377011.0,808904
1994,63,13,Idaho,419330.0,784076
1994,21,14,Illinois,3219122.0,8175312
1994,22,15,Indiana,1609481.0,4235008
1994,31,16,Iowa,1022372.0,2077709
1994,32,17,Kansas,836251.0,1837694
1994,51,18,Kentucky,827541.0,2829881
1994,45,19,Louisiana,893758.0,3038660
1994,2,20,Maine,,918204
1994,52,21,Maryland,1437450.0,3480270
1994,3,22,Massachusetts,2232186.0,4353287
1994,23,23,Michigan,3177740.0,6856388
1994,33,24,Minnesota,1794618.0,3253779
1994,46,25,Mississippi,621096.0,1903794
1994,34,26,Missouri,,3858946
1994,64,27,Montana,359455.0,622246
1994,35,28,Nebraska,593654.0,1164502
1994,65,29,Nevada,386582.0,1032456
1994,4,30,New Hampshire,319443.0,829590
1994,12,31,New Jersey,2131328.0,5392423
1994,66,32,New Mexico,485709.0,1128243
1994,13,33,New York,5325323.0,12192316
1994,47,34,North Carolina,,5244552
1994,36,35,North Dakota,240430.0,468989
1994,24,36,Ohio,3540954.0,8132122
1994,53,37,Oklahoma,1002363.0,2327519
1994,72,38,Oregon,1254265.0,2229242
1994,14,39,Pennsylvania,,9043585
1994,5,40,Rhode Island,,716002
1994,48,41,South Carolina,951901.0,2663830
1994,37,42,South Dakota,318090.0,518815
1994,54,43,Tennessee,,3850228
1994,49,44,Texas,,11719888
1994,67,45,Utah,532737.0,1248726
1994,6,46,Vermont,216715.0,426953
1994,40,47,Virginia,,4718968
1994,73,48,Washington,1733471.0,3715174
1994,56,49,West Virginia,439551.0,1379339
1994,25,50,Wisconsin,,3692668
1994,68,51,Wyoming,204025.0,337032
1992,0,0,United States,,179655523
1992,41,1,Alabama,,3030549
1992,81,2,Alaska,261427.0,389898
1992,61,3,Arizona,1516276.0,2671933
1992,42,4,Arkansas,,1751083
1992,71,5,California,11374565.0,18460157
1992,62,6,Colorado,1597166.0,2494998
1992,1,7,Connecticut,1645609.0,2356937
1992,11,8,Delaware,290836.0,499266
1992,55,9,District of Columbia,231445.0,427102
1992,43,10,Florida,5438612.0,9506230
1992,44,11,Georgia,,4766958
1992,82,12,Hawaii,382882.0,795148
1992,63,13,Idaho,491725.0,734855
1992,21,14,Illinois,5164357.0,8113900
1992,22,15,Indiana,2347912.0,4162678
1992,31,16,Iowa,1360856.0,2057690
1992,32,17,Kansas,1161044.0,1810750
1992,51,18,Kentucky,,2772600
1992,45,19,Louisiana,1799596.0,2997301
1992,2,20,Maine,,915082
1992,52,21,Maryland,1999486.0,3440015
1992,3,22,Massachusetts,2822962.0,4346897
1992,23,23,Michigan,4341909.0,6786593
1992,33,24,Minnesota,2355796.0,3187255
1992,46,25,Mississippi,1008019.0,1854797
1992,34,26,Missouri,,3792675
1992,64,27,Montana,417564.0,593345
1992,35,28,Nebraska,744548.0,1149525
1992,65,29,Nevada,513387.0,940066
1992,4,30,New Hampshire,545197.0,814160
1992,12,31,New Jersey,3348312.0,5398559
1992,66,32,New Mexico,590901.0,1073421
1992,13,33,New York,7068630.0,12227775
1992,47,34,North Carolina,,5077494
1992,36,35,North Dakota,315199.0,462631
1992,24,36,Ohio,5043094.0,8063595
1992,53,37,Oklahoma,1455635.0,2293931
1992,72,38,Oregon,1498959.0,2144867
1992,14,39,Pennsylvania,,9010940
1992,5,40,Rhode Island,,721593
1992,48,41,South Carolina,1234712.0,2610725
1992,37,42,South Dakota,,503759
1992,54,43,Tennessee,,3726024
1992,49,44,Texas,,11356487
1992,67,45,Utah,784988.0,1162363
1992,6,46,Vermont,292797.0,419810
1992,40,47,Virginia,,4622125
1992,73,48,Washington,2324907.0,3575852
1992,56,49,West Virginia,,1365368
1992,25,50,Wisconsin,,3619273
1992,68,51,Wyoming,203602.0,324253
1990,0,0,United States,,176629259
1990,41,1,Alabama,,2956385
1990,81,2,Alaska,197540.0,364419
1990,61,3,Arizona,1094735.0,2523614
1990,42,4,Arkansas,,1710799
1990,71,5,California,7899131.0,18156500
1990,62,6,Colorado,1046139.0,2366650
1990,1,7,Connecticut,1159361.0,2383795
1990,11,8,Delaware,183977.0,486760
1990,55,9,District of Columbia,171677.0,441742
1990,43,10,Florida,,9145312
1990,44,11,Georgia,,4588953
1990,82,12,Hawaii,354144.0,770836
1990,63,13,Idaho,328340.0,690154
1990,21,14,Illinois,3420720.0,8029525
1990,22,15,Indiana,1566371.0,4080236
1990,31,16,Iowa,1004908.0,2030935
1990,32,17,Kansas,805251.0,1783412
1990,51,18,Kentucky,,2722356
1990,45,19,Louisiana,,2959148
1990,2,20,Maine,,910982
1990,52,21,Maryland,1170867.0,3397126
1990,3,22,Massachusetts,2424579.0,4384671
1990,23,23,Michigan,2641649.0,6693069
1990,33,24,Minnesota,1843104.0,3136830
1990,46,25,Mississippi,,1824156
1990,34,26,Missouri,,3740308
1990,64,27,Montana,326652.0,573045
1990,35,28,Nebraska,604195.0,1131746
1990,65,29,Nevada,325959.0,858018
1990,4,30,New Hampshire,307700.0,814549
1990,12,31,New Jersey,1998894.0,5429251
1990,66,32,New Mexico,429509.0,1026902
1990,13,33,New York,4290261.0,12271903
1990,47,34,North Carolina,,4938968
1990,36,35,North Dakota,240301.0,461711
1990,24,36,Ohio,3620469.0,7975680
1990,53,37,Oklahoma,929639.0,2251719
1990,72,38,Oregon,1133125.0,2057833
1990,14,39,Pennsylvania,,8962083
1990,5,40,Rhode Island,375188.0,725084
1990,48,41,South Carolina,793614.0,2537384
1990,37,42,South Dakota,,494849
