set_num,name,year,theme_id,num_parts,img_url,inventory_id,quantity,id,version,_art_year
41403-1,Mia's Play Cube,2020,494,41,https://cdn.rebrickable.com/media/sets/41403-1.jpg,,,42488,1,2020
41404-1,Emma's Play Cube,2020,494,36,https://cdn.rebrickable.com/media/sets/41404-1.jpg,,,42489,1,2020
41405-1,Andrea's Shopping Play Cube,2020,494,40,https://cdn.rebrickable.com/media/sets/41405-1.jpg,,,47369,1,2020
41406-1,Stephanie's Shopping Play Cube,2020,494,44,https://cdn.rebrickable.com/media/sets/41406-1.jpg,,,47370,1,2020
41407-1,Olivia's Shopping Play Cube,2020,494,47,https://cdn.rebrickable.com/media/sets/41407-1.jpg,,,47371,1,2020
41408-1,Mia's Shopping Play Cube,2020,494,37,https://cdn.rebrickable.com/media/sets/41408-1.jpg,,,47372,1,2020
41409-1,Emma's Shopping Play Cube,2020,494,49,https://cdn.rebrickable.com/media/sets/41409-1.jpg,,,47373,1,2020
41410-1,Andrea's Summer Play Cube,2020,494,43,https://cdn.rebrickable.com/media/sets/41410-1.jpg,,,72186,1,2020
41411-1,Stephanie's Summer Play Cube,2020,494,47,https://cdn.rebrickable.com/media/sets/41411-1.jpg,,,72187,1,2020
41412-1,Olivia's Summer Play Cube,2020,494,48,https://cdn.rebrickable.com/media/sets/41412-1.jpg,,,72188,1,2020
41413-1,Mia's Summer Play Cube,2020,494,50,https://cdn.rebrickable.com/media/sets/41413-1.jpg,,,72189,1,2020
41414-1,Emma's Summer Play Cube,2020,494,51,https://cdn.rebrickable.com/media/sets/41414-1.jpg,,,72191,1,2020
41420-1,Friends Advent Calendar 2020,2020,216,236,https://cdn.rebrickable.com/media/sets/41420-1.jpg,,,69832,1,2020
4142-1,Freestyle Building Set,1995,399,98,https://cdn.rebrickable.com/media/sets/4142-1.jpg,,,9488,1,1995
41421-1,Baby Elephant Jungle Rescue,2020,494,203,https://cdn.rebrickable.com/media/sets/41421-1.jpg,,,57872,1,2020
41422-1,Panda Jungle Tree House,2020,494,265,https://cdn.rebrickable.com/media/sets/41422-1.jpg,,,57874,1,2020
41423-1,Tiger Hot Air Balloon Jungle Rescue,2020,494,302,https://cdn.rebrickable.com/media/sets/41423-1.jpg,,,57341,1,2020
41424-1,Jungle Rescue Base,2020,494,657,https://cdn.rebrickable.com/media/sets/41424-1.jpg,,,57876,1,2020
41425-1,Olivia's Flower Garden,2020,494,92,https://cdn.rebrickable.com/media/sets/41425-1.jpg,,,57878,1,2020
41426-1,Heartlake City Park Café,2020,494,224,https://cdn.rebrickable.com/media/sets/41426-1.jpg,,,57879,1,2020
41427-1,Emma's Fashion Shop,2020,494,343,https://cdn.rebrickable.com/media/sets/41427-1.jpg,,,57880,1,2020
41428-1,Beach House,2020,494,444,https://cdn.rebrickable.com/media/sets/41428-1.jpg,,,57883,1,2020
41429-1,Heartlake City Airplane,2020,494,574,https://cdn.rebrickable.com/media/sets/41429-1.jpg,,,57884,1,2020
414-3,"Windows Parts Pack, Red (The Building Toy)",1966,371,10,https://cdn.rebrickable.com/media/sets/414-3.jpg,,,16261,1,1966
41430-1,Summer Fun Water Park,2020,494,1012,https://cdn.rebrickable.com/media/sets/41430-1.jpg,,,57885,1,2020
4143-1,Freestyle Building Set,1995,399,196,https://cdn.rebrickable.com/media/sets/4143-1.jpg,,,12915,1,1995
41431-1,Heartlake City Brick Box,2020,494,336,https://cdn.rebrickable.com/media/sets/41431-1.jpg,,,43283,1,2020
41432-1,Alpaca Rescue in the Jungle,2020,494,512,https://cdn.rebrickable.com/media/sets/41432-1.jpg,,,60444,1,2020
41433-1,Party Boat,2020,494,640,https://cdn.rebrickable.com/media/sets/41433-1.jpg,,,60445,1,2020
41434-1,Andrea's Jungle Play Cube,2020,494,47,https://cdn.rebrickable.com/media/sets/41434-1.jpg,,,59595,1,2020
41435-1,Stephanie's Jungle Play Cube,2020,494,40,https://cdn.rebrickable.com/media/sets/41435-1.jpg,,,59594,1,2020
41436-1,Olivia's Jungle Play Cube,2020,494,51,https://cdn.rebrickable.com/media/sets/41436-1.jpg,,,59592,1,2020
41437-1,Mia's Jungle Play Cube,2020,494,43,https://cdn.rebrickable.com/media/sets/41437-1.jpg,,,59589,1,2020
