camis,dba,boro,zipcode,cuisine_description,inspection_date,action,violation_code,violation_description,critical_flag,score,grade,inspection_type,_art_year
50017403,PIER A HARBOR HOUSE,MANHATTAN,10004.0,American,05/19/2016,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,11.0,A,Cycle Inspection / Re-inspection,2016
50080004,JAYLEEN'S MEDITERRANEAN CUISINE,MANHATTAN,10005.0,Mediterranean,08/14/2018,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,73.0,,Cycle Inspection / Initial Inspection,2018
41717640,SOLDIERS CARIBBEAN BUFFET RESTAURANT,BROOKLYN,11213.0,Caribbean,04/14/2018,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,12.0,A,Cycle Inspection / Re-inspection,2018
50034637,WOLFETONE'S IRISH PUB & KITCHEN,MANHATTAN,10016.0,American,02/03/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10.0,,Cycle Inspection / Initial Inspection,2016
41217572,JACK'S STIR BREW COFFEE,MANHATTAN,10038.0,CafÃ©/Coffee/Tea,01/18/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9.0,A,Cycle Inspection / Re-inspection,2017
41697195,CICCIO,MANHATTAN,10013.0,Italian,05/02/2016,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,25.0,B,Cycle Inspection / Re-inspection,2016
50034573,TAQUERIA EL PATRON MEXICAN GRILL,BROOKLYN,11225.0,Mexican,12/22/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,13.0,A,Cycle Inspection / Initial Inspection,2016
50060687,CHANSON,MANHATTAN,10010.0,Bakery,11/23/2018,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,41.0,,Cycle Inspection / Initial Inspection,2018
41288500,IL MELOGRANO,MANHATTAN,10019.0,Italian,09/21/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,9.0,A,Cycle Inspection / Re-inspection,2015
40897418,NB. NATIONAL BAKERY,BRONX,10452.0,Bakery,04/07/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,15.0,,Cycle Inspection / Initial Inspection,2017
50037421,STEAK AND HOAGIES,MANHATTAN,10029.0,Chinese,09/20/2017,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,24.0,B,Cycle Inspection / Re-inspection,2017
40560949,CORT THEATRE,MANHATTAN,10105.0,American,05/23/2017,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,7.0,A,Cycle Inspection / Initial Inspection,2017
50045054,CHINA NEW STAR RESTAURANT,STATEN ISLAND,10302.0,Chinese,08/09/2018,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,29.0,,Cycle Inspection / Initial Inspection,2018
41681367,JUMBO CHINESE KITCHEN,QUEENS,11418.0,Chinese,07/13/2015,Violations were cited in the following area(s).,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Not Critical,38.0,,Cycle Inspection / Initial Inspection,2015
41204031,A LA TURKA,MANHATTAN,10021.0,Mediterranean,06/22/2015,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,12.0,A,Cycle Inspection / Re-inspection,2015
50034713,MCG GRAND CAFE,BROOKLYN,11225.0,Caribbean,06/11/2015,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,25.0,,Pre-permit (Operational) / Initial Inspection,2015
41587614,FAROS RESTAURANT,BROOKLYN,11217.0,Greek,07/15/2015,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,13.0,A,Cycle Inspection / Initial Inspection,2015
50034750,VARRIO 408,BROOKLYN,11215.0,Mexican,03/06/2018,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12.0,A,Cycle Inspection / Initial Inspection,2018
50065822,SEIS VECINOS RESTAURANT,BRONX,10455.0,Spanish,10/12/2018,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,30.0,,Cycle Inspection / Initial Inspection,2018
40787908,KELLY'S TAVERN,BROOKLYN,11209.0,American,06/14/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8.0,A,Cycle Inspection / Initial Inspection,2017
41567437,ANGELA'S BAKERY,BROOKLYN,11221.0,Bakery,10/23/2018,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,33.0,,Cycle Inspection / Initial Inspection,2018
50074430,GREEN YARD CAFE,MANHATTAN,10033.0,CafÃ©/Coffee/Tea,08/13/2018,Violations were cited in the following area(s).,15F,,Not Applicable,,,Smoke-Free Air Act / Initial Inspection,2018
50056153,The Empire Rooftop,MANHATTAN,10023.0,American,11/01/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,38.0,,Pre-permit (Operational) / Initial Inspection,2016
50043252,DISTRICT SOCIAL,MANHATTAN,10018.0,American,07/19/2016,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,12.0,A,Cycle Inspection / Initial Inspection,2016
50018440,POPPY'S,BROOKLYN,11231.0,American,10/17/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,25.0,,Cycle Inspection / Initial Inspection,2016
50059582,EAT HALAL INTERNATIONAL,BROOKLYN,11217.0,Middle Eastern,07/09/2018,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12.0,A,Cycle Inspection / Re-inspection,2018
40393038,METROSTAR CAFE,BROOKLYN,11201.0,American,05/27/2015,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,9.0,A,Cycle Inspection / Re-inspection,2015
50033364,EL ORIGINAL,MANHATTAN,10019.0,Tex-Mex,09/12/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13.0,,Cycle Inspection / Initial Inspection,2016
50084106,MEI JUNG MEI RESTAURANT,BROOKLYN,11210.0,Chinese,11/01/2018,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,48.0,,Pre-permit (Operational) / Initial Inspection,2018
41431239,QUE SABROSURA RESTAURANT,BRONX,10453.0,Spanish,02/08/2017,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,51.0,C,Cycle Inspection / Re-inspection,2017
40785056,NEW ANDY'S DELI,MANHATTAN,10003.0,Delicatessen,08/08/2017,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12.0,A,Cycle Inspection / Re-inspection,2017
50056793,Asian Kabab & Curry,BROOKLYN,11208.0,Indian,08/15/2018,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,44.0,Z,Cycle Inspection / Re-inspection,2018
50001883,NORBERT'S PIZZA,BROOKLYN,11221.0,Pizza,11/21/2017,Establishment re-closed by DOHMH,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,61.0,,Cycle Inspection / Reopening Inspection,2017
50058113,4 CHARLES RIB PRIME RIB,MANHATTAN,10014.0,Steak,11/07/2018,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,40.0,Z,Pre-permit (Operational) / Re-inspection,2018
50007219,GREENPOINT BEER & ALE,BROOKLYN,11222.0,American,06/21/2018,Establishment re-closed by DOHMH,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,33.0,,Cycle Inspection / Reopening Inspection,2018
41319232,SALUGGI'S,MANHATTAN,10013.0,Italian,02/13/2018,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,27.0,,Cycle Inspection / Initial Inspection,2018
50016922,MB RESTAURANT,BRONX,10458.0,African,08/01/2016,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,33.0,,Cycle Inspection / Initial Inspection,2016
50053299,PATEA,MANHATTAN,10003.0,CafÃ©/Coffee/Tea,03/21/2017,No violations were recorded at the time of this inspection.,,,Not Applicable,0.0,A,Pre-permit (Operational) / Re-inspection,2017
40634730,NEW YORK UNIVERSITY - COURTYARD CAFE,MANHATTAN,10003.0,American,08/27/2018,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,5.0,A,Cycle Inspection / Re-inspection,2018
50008635,MANGANARO'S HERO BOY,MANHATTAN,10018.0,Italian,08/22/2017,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13.0,A,Cycle Inspection / Initial Inspection,2017
41101595,ANGELO'S PIZZA,MANHATTAN,10019.0,Pizza,03/15/2018,No violations were recorded at the time of this inspection.,,,Not Applicable,,,Administrative Miscellaneous / Re-inspection,2018
50046806,SUN LUCK RESTAURANT,BROOKLYN,11217.0,Chinese,11/21/2017,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,18.0,,Cycle Inspection / Initial Inspection,2017
