LEAID,LEA_NAME,ST,d_Locale_Txt,SCHOOL_YEAR,AIAN,Asian,Black,Hispanic,White,Multi,Total,diverse,variance,int_group
1904320,battle creek-ida grove comm school district,IA,rural-remote,1994-1995,0.0,0.314795383001049,0.209863588667366,0.0,99.4753410283316,,953,Extremely undiverse,,
1904320,battle creek-ida grove comm school district,IA,rural-remote,2016-2017,0.161550888529887,0.646203554119548,1.13085621970921,2.90791599353796,93.8610662358643,1.2924071082391,619,Extremely undiverse,,
1904380,baxter comm school district,IA,rural-distant,1994-1995,0.0,0.284900284900285,0.284900284900285,0.56980056980057,98.8603988603989,,351,Extremely undiverse,,
1904380,baxter comm school district,IA,rural-distant,2016-2017,0.0,0.223713646532438,0.671140939597315,2.01342281879195,95.0782997762864,2.01342281879195,447,Extremely undiverse,,
1904440,bcluw comm school district,IA,rural-distant,1994-1995,0.291545189504373,0.43731778425656,0.145772594752187,1.16618075801749,97.9591836734694,,686,Extremely undiverse,,
1904440,bcluw comm school district,IA,rural-distant,2016-2017,0.325732899022801,0.488599348534202,0.488599348534202,5.53745928338762,90.228013029316,2.93159609120521,614,Extremely undiverse,,
1904560,bedford comm school district,IA,rural-remote,1994-1995,0.0,0.152439024390244,0.457317073170732,0.457317073170732,98.9329268292683,,656,Extremely undiverse,,
1904560,bedford comm school district,IA,rural-remote,2016-2017,0.218818380743982,0.0,1.09409190371991,1.96936542669584,94.3107221006564,2.40700218818381,457,Extremely undiverse,,
1904620,belle plaine comm school district,IA,rural-remote,1994-1995,0.0,0.13550135501355,0.2710027100271,0.0,99.5934959349593,,738,Extremely undiverse,,
1904620,belle plaine comm school district,IA,rural-remote,2016-2017,0.182149362477231,0.910746812386157,2.18579234972678,0.546448087431694,94.5355191256831,1.63934426229508,549,Extremely undiverse,,
1904650,bellevue comm school district,IA,town-distant,1994-1995,0.0,0.0,0.0,0.0,100.0,,659,Extremely undiverse,,
1904650,bellevue comm school district,IA,town-distant,2016-2017,0.142247510668563,0.0,1.13798008534851,0.85348506401138,95.7325746799431,2.13371266002845,703,Extremely undiverse,,
1904680,belmond-klemme comm school district,IA,rural-distant,1994-1995,0.0,0.297324083250743,0.0991080277502478,0.693756194251734,98.9098116947473,,1009,Extremely undiverse,,
1904680,belmond-klemme comm school district,IA,rural-distant,2016-2017,0.261780104712042,0.261780104712042,2.4869109947644,23.9528795811518,71.0732984293194,1.96335078534031,764,Diverse,,
1904740,bennett comm school district,IA,rural-distant,1994-1995,0.0,0.0,0.0,0.359712230215827,99.6402877697842,,278,Extremely undiverse,,
1904740,bennett comm school district,IA,rural-distant,2016-2017,0.0,0.0,0.0,5.79710144927536,88.4057971014493,5.79710144927536,69,Undiverse,,
1904830,benton comm school district,IA,rural-distant,1994-1995,0.0,0.224215246636771,0.149476831091181,0.0,99.626307922272,,1338,Extremely undiverse,,
1904830,benton comm school district,IA,rural-distant,2016-2017,0.189753320683112,0.253004427577483,0.695762175838077,1.45477545857053,96.078431372549,1.32827324478178,1581,Extremely undiverse,,
1904860,bettendorf comm school district,IA,suburban-large,1994-1995,0.323694432455762,1.92058696590419,2.95640914976262,2.22270176952956,92.5766076823479,,4634,Extremely undiverse,,
1904860,bettendorf comm school district,IA,suburban-large,2016-2017,0.236051502145923,2.40343347639485,7.14592274678112,8.69098712446352,76.8669527896996,4.65665236051502,4660,Undiverse,,
1904950,eddyville-blakesburg- fremont csd,IA,rural-distant,1994-1995,0.0,0.783545543584721,0.29382957884427,0.587659157688541,98.3349657198825,,1021,Extremely undiverse,,
1904950,eddyville-blakesburg- fremont csd,IA,rural-distant,2016-2017,0.0,0.201612903225806,0.403225806451613,2.62096774193548,94.9596774193548,1.81451612903226,992,Extremely undiverse,,
1905070,bondurant-farrar comm school district,IA,rural-fringe,1994-1995,0.0,0.808314087759815,0.23094688221709,1.15473441108545,97.8060046189376,,866,Extremely undiverse,,
