year,state,county_name,urbanicity,region,division,pop_category,population,pretrial_population,_art_year
1973,TN,Franklin County,rural,South,East South Central,Other,32.0,,1973
1972,MN,Hennepin County,urban,Midwest,West North Central,Female,313859.0,10.5,1972
1988,OH,Brown County,suburban,Midwest,East North Central,Native American,,,1988
2016,KS,Kearny County,rural,Midwest,West North Central,White,1576.0,,2016
1975,MS,Lincoln County,rural,South,East South Central,Other,18.0,,1975
2016,OK,Bryan County,rural,South,West South Central,Total,28296.0,,2016
2010,WA,King County,urban,West,Pacific,Black,91192.0,,2010
2016,SC,Barnwell County,rural,South,South Atlantic,White,7053.0,,2016
1972,MS,Walthall County,rural,South,East South Central,White,4521.0,,1972
1971,IA,Union County,rural,Midwest,West North Central,Latino,,,1971
2015,HI,Kalawao County,small/mid,West,Pacific,White,23.0,,2015
1998,VA,New Kent County,suburban,South,South Atlantic,Latino,79.0,,1998
2013,GA,Clinch County,rural,South,South Atlantic,Female,2224.0,4.0,2013
1986,NC,Randolph County,small/mid,South,South Atlantic,Male,33465.0,36.8,1986
2002,MO,Audrain County,rural,Midwest,West North Central,Total,16312.0,21.0,2002
1975,WY,Fremont County,rural,West,Mountain,Female,9758.0,1.375,1975
1975,WV,Berkeley County,small/mid,South,South Atlantic,White,25216.0,,1975
1974,KY,Letcher County,rural,South,East South Central,Male,7804.0,10.0,1974
1998,KS,Wallace County,rural,Midwest,West North Central,Total,1071.0,1.651163,1998
2006,MO,Lincoln County,suburban,Midwest,West North Central,Female,16054.0,14.0,2006
1978,VA,Fauquier County,suburban,South,South Atlantic,Asian,,,1978
1975,SC,Greenwood County,rural,South,South Atlantic,Native American,,,1975
2003,TX,Fort Bend County,suburban,South,West South Central,Female,145644.0,70.0,2003
1976,MS,Jefferson County,rural,South,East South Central,Female,2659.0,0.0,1976
2005,KS,Washington County,rural,Midwest,West North Central,Latino,64.0,,2005
1985,KS,Greeley County,rural,Midwest,West North Central,Male,558.0,0.0,1985
1980,IL,Putnam County,rural,Midwest,East North Central,Other,5.0,,1980
1996,SC,Laurens County,small/mid,South,South Atlantic,Asian,81.0,,1996
2007,ME,Washington County,rural,Northeast,New England,White,20112.0,,2007
1991,TX,Coke County,rural,South,West South Central,Latino,246.0,,1991
1971,NJ,Sussex County,suburban,Northeast,Middle Atlantic,Total,48838.0,6.625,1971
2012,AZ,Apache County,rural,West,Mountain,Black,245.0,,2012
2005,KY,Clay County,rural,South,East South Central,White,14816.0,,2005
2010,SC,Lancaster County,suburban,South,South Atlantic,Female,25025.0,11.0,2010
1993,ME,Somerset County,rural,Northeast,New England,Asian,68.0,,1993
1986,TX,Henderson County,rural,South,West South Central,Other,204.0,,1986
2006,MS,Leake County,rural,South,East South Central,Other,,,2006
1982,NC,Caldwell County,small/mid,South,South Atlantic,Total,45787.0,16.8,1982
2010,NC,Person County,small/mid,South,South Atlantic,Female,13216.0,11.0,2010
2013,MN,Wadena County,rural,Midwest,West North Central,Male,4142.0,8.0,2013
1997,KY,Marion County,rural,South,East South Central,Female,5466.0,0.0,1997
1977,OR,Klamath County,rural,West,Pacific,Total,36604.0,30.125,1977
1983,IL,Kankakee County,small/mid,Midwest,East North Central,Male,30842.0,44.0,1983
1979,NJ,Salem County,suburban,Northeast,Middle Atlantic,Other,205.0,,1979
1988,MA,Nantucket County,rural,Northeast,New England,Total,4130.0,1.336885,1988
1990,TX,Val Verde County,rural,South,West South Central,Other,,,1990
2013,AR,Cleburne County,rural,South,West South Central,White,14704.0,,2013
2009,NC,Harnett County,rural,South,South Atlantic,White,49290.0,,2009
1973,KY,Casey County,rural,South,East South Central,Native American,,,1973
1995,OK,Mayes County,rural,South,West South Central,Black,59.0,,1995
1984,OK,Alfalfa County,rural,South,West South Central,Female,1992.0,1.0,1984
2006,KS,Wabaunsee County,small/mid,Midwest,West North Central,Male,2261.0,3.0,2006
1998,FL,Gulf County,small/mid,South,South Atlantic,Black,1485.0,,1998
1998,WI,Grant County,rural,Midwest,West North Central,Black,172.0,,1998
1999,MN,Otter Tail County,rural,Midwest,West North Central,White,33640.0,,1999
1991,AR,Newton County,rural,South,West South Central,White,4796.0,,1991
2004,SD,Gregory County,rural,Midwest,West North Central,Asian,7.0,,2004
1978,IL,Adams County,rural,Midwest,East North Central,Male,21774.0,9.0,1978
2001,PA,York County,small/mid,Northeast,Middle Atlantic,Male,127590.0,578.0,2001
1990,TX,DeWitt County,rural,South,West South Central,Black,1049.0,,1990
1986,MI,Allegan County,rural,Midwest,East North Central,Native American,,,1986
1984,CT,New London County,small/mid,Northeast,New England,Total,171657.0,,1984
2013,SD,Todd County,rural,Midwest,West North Central,Other,,,2013
1998,NY,Clinton County,rural,Northeast,Middle Atlantic,Female,25920.0,10.83333,1998
1995,TX,Loving County,rural,South,West South Central,Female,34.0,0.0162151,1995
1998,IA,Davis County,rural,Midwest,West North Central,Other,,,1998
2007,PA,Bradford County,rural,Northeast,Middle Atlantic,Female,20216.0,6.0,2007
1985,PA,Berks County,small/mid,Northeast,Middle Atlantic,Male,102592.0,157.0,1985
1973,KY,Webster County,rural,South,East South Central,Native American,,,1973
1979,KS,Kingman County,small/mid,Midwest,West North Central,Male,2747.0,2.125,1979
2001,VA,Lancaster County,rural,South,South Atlantic,Native American,12.0,,2001
1994,MO,St. Francois County,rural,Midwest,West North Central,Female,15723.0,3.333333,1994
1976,LA,Vernon Parish,rural,South,West South Central,Native American,,,1976
2012,AR,Sevier County,rural,South,West South Central,Latino,3264.0,,2012
1988,IN,Kosciusko County,rural,Midwest,East North Central,Latino,,,1988
2007,WV,Boone County,small/mid,South,South Atlantic,Black,105.0,,2007
1975,TX,Tyler County,rural,South,West South Central,Other,27.0,,1975
2010,VA,Smyth County,rural,South,South Atlantic,Female,10582.0,11.56662,2010
1997,PA,Susquehanna County,rural,Northeast,Middle Atlantic,Other,,,1997
1989,IN,Bartholomew County,small/mid,Midwest,East North Central,Male,20957.0,39.8,1989
2016,CA,Riverside County,urban,West,Pacific,Black,106749.0,,2016
1980,AR,Lafayette County,rural,South,West South Central,Black,2215.0,,1980
2006,NE,Sherman County,rural,Midwest,West North Central,Asian,4.0,,2006
1985,TX,Knox County,rural,South,West South Central,Female,1551.0,0.0,1985
2003,SD,Sanborn County,rural,Midwest,West North Central,Asian,6.0,,2003
2015,MA,Hampshire County,small/mid,Northeast,New England,Female,62587.0,6.0,2015
2010,MO,Marion County,rural,Midwest,West North Central,Black,1005.0,,2010
1974,FL,Union County,rural,South,South Atlantic,Male,4987.0,0.0,1974
2012,OK,Washita County,rural,South,West South Central,Other,,,2012
1984,TX,Gonzales County,rural,South,West South Central,Male,5408.0,8.8,1984
1972,AK,Kusilvak Census Area,rural,West,Pacific,Latino,,,1972
1999,FL,Volusia County,small/mid,South,South Atlantic,Asian,3568.0,,1999
1997,KY,Shelby County,suburban,South,East South Central,Asian,89.0,,1997
1986,VA,King and Queen County,rural,South,South Atlantic,Other,49.0,,1986
2014,AK,Hoonah-Angoon Census Area,rural,West,Pacific,Black,19.0,,2014
2004,IN,Parke County,rural,Midwest,East North Central,Latino,93.0,,2004
1978,KS,Ellsworth County,rural,Midwest,West North Central,Latino,,,1978
2013,NY,Fulton County,rural,Northeast,Middle Atlantic,Asian,273.0,,2013
1991,IN,Sullivan County,small/mid,Midwest,East North Central,White,11668.0,,1991
1974,MN,Anoka County,suburban,Midwest,West North Central,Asian,,,1974
2016,NY,Broome County,small/mid,Northeast,Middle Atlantic,Native American,307.0,,2016
1972,MO,Livingston County,rural,Midwest,West North Central,Male,4493.0,6.666667,1972
1994,VA,Frederick County,small/mid,South,South Atlantic,Black,789.0,,1994
2014,MO,Hickory County,rural,Midwest,West North Central,Other,,,2014
1984,GA,Butts County,suburban,South,South Atlantic,Male,5287.0,11.8,1984
2008,TN,Houston County,rural,South,East South Central,Total,5203.0,13.5,2008
1977,TN,Rutherford County,suburban,South,East South Central,Asian,,,1977
2011,SD,Yankton County,rural,Midwest,West North Central,Latino,425.0,,2011
1996,IL,Will County,suburban,Midwest,East North Central,Native American,577.0,,1996
2000,MD,Anne Arundel County,suburban,South,South Atlantic,Female,167835.0,50.0,2000
2009,UT,Duchesne County,rural,West,Middle Atlantic,Native American,538.0,,2009
2005,NY,Dutchess County,suburban,Northeast,Middle Atlantic,Asian,7082.0,,2005
1972,WI,Shawano County,rural,Midwest,West North Central,Latino,,,1972
1995,MO,St. Louis city,urban,Midwest,West North Central,Female,121452.0,40.0,1995
1984,TN,McMinn County,rural,South,East South Central,Latino,,,1984
1989,PA,Armstrong County,suburban,Northeast,Middle Atlantic,Asian,,,1989
2010,MS,Quitman County,rural,South,East South Central,Latino,43.0,,2010
1995,MI,Wexford County,rural,Midwest,East North Central,Latino,104.0,,1995
2002,AL,Tallapoosa County,rural,South,East South Central,Female,13432.0,5.0,2002
1989,MS,Alcorn County,rural,South,East South Central,Asian,,,1989
1981,CA,Ventura County,small/mid,West,Pacific,Male,184415.0,227.5714,1981
1988,FL,Escambia County,small/mid,South,South Atlantic,Female,88632.0,32.0,1988
1996,MO,DeKalb County,small/mid,Midwest,West North Central,Asian,14.0,,1996
1989,AZ,Navajo County,rural,West,Mountain,Asian,,,1989
2016,MT,Park County,rural,West,Mountain,Female,5088.0,,2016
1982,VA,Newport News city,suburban,South,South Atlantic,Native American,,,1982
2004,TX,Titus County,rural,South,West South Central,Female,9206.0,0.0,2004
1974,TN,Franklin County,rural,South,East South Central,Asian,,,1974
2000,SD,Kingsbury County,rural,Midwest,West North Central,Total,3265.0,0.0,2000
2004,CA,Yuba County,small/mid,West,Pacific,Total,41407.0,352.0,2004
1981,KS,Decatur County,rural,Midwest,West North Central,Other,9.0,,1981
2014,WV,Nicholas County,rural,South,South Atlantic,Black,80.0,,2014
1989,MO,Linn County,rural,Midwest,West North Central,Total,7852.0,0.0,1989
1989,IA,Boone County,rural,Midwest,West North Central,Black,45.0,,1989
1996,MI,Genesee County,small/mid,Midwest,East North Central,Female,146796.0,22.5,1996
1986,MN,Meeker County,rural,Midwest,West North Central,Native American,,,1986
2011,OR,Klamath County,rural,West,Pacific,White,35603.0,,2011
1996,TX,Hudspeth County,small/mid,South,West South Central,Asian,0.0,,1996
1976,IA,Van Buren County,rural,Midwest,West North Central,Total,4793.0,0.0,1976
1978,ND,LaMoure County,rural,Midwest,West North Central,Other,4.0,,1978
1979,MI,Delta County,rural,Midwest,East North Central,Male,12071.0,3.1,1979
1992,IL,Gallatin County,rural,Midwest,East North Central,Latino,7.0,,1992
2001,MT,Carter County,rural,West,Mountain,Native American,5.0,,2001
1993,IA,Louisa County,rural,Midwest,West North Central,Total,7385.0,1.0,1993
1988,FL,Hardee County,rural,South,South Atlantic,Latino,,,1988
1991,TX,Lamb County,rural,South,West South Central,Native American,12.0,,1991
1974,KY,Lewis County,rural,South,East South Central,White,7677.0,,1974
1983,KY,Union County,rural,South,East South Central,Latino,,,1983
2004,WY,Converse County,rural,West,Mountain,Native American,71.0,,2004
1976,UT,Summit County,rural,West,Middle Atlantic,Asian,,,1976
1990,OH,Noble County,rural,Midwest,East North Central,Asian,2.0,,1990
1997,LA,Grant Parish,small/mid,South,West South Central,Latino,101.0,,1997
1978,TN,Decatur County,rural,South,East South Central,Male,3204.0,4.0,1978
1979,VA,Newport News city,suburban,South,South Atlantic,Black,29775.0,,1979
1990,PA,Lehigh County,small/mid,Northeast,Middle Atlantic,Other,,,1990
1979,IL,Whiteside County,rural,Midwest,East North Central,Latino,,,1979
1974,TX,Floyd County,rural,South,West South Central,Latino,,,1974
2011,WV,Brooke County,small/mid,South,South Atlantic,Native American,14.0,,2011
2010,OR,Clackamas County,suburban,West,Pacific,Male,125232.0,58.0,2010
2016,CA,Riverside County,urban,West,Pacific,Other,,,2016
2016,MA,Suffolk County,urban,Northeast,New England,Total,580735.0,,2016
1976,GA,Telfair County,rural,South,South Atlantic,Native American,,,1976
1975,NC,Wayne County,small/mid,South,South Atlantic,Native American,,,1975
1974,CT,New Haven County,small/mid,Northeast,New England,Latino,,,1974
1970,SD,Jerauld County,rural,Midwest,West North Central,Asian,,,1970
1979,CA,Yolo County,suburban,West,Pacific,Latino,,,1979
2010,MI,Berrien County,small/mid,Midwest,East North Central,Total,101248.0,115.125,2010
2011,OH,Columbiana County,rural,Midwest,East North Central,Female,34316.0,8.0,2011
1990,OH,Cuyahoga County,urban,Midwest,East North Central,Male,433082.0,667.0,1990
2002,KS,Cloud County,rural,Midwest,West North Central,Female,2958.0,0.0,2002
2009,KY,Harrison County,rural,South,East South Central,Total,12278.0,26.86105,2009
2003,TX,Shackelford County,rural,South,West South Central,Male,1022.0,2.0,2003
1977,NE,Merrick County,small/mid,Midwest,West North Central,Male,2726.0,2.1668,1977
1993,CO,Alamosa County,rural,West,Mountain,Latino,3412.0,,1993
1985,NC,Washington County,rural,South,South Atlantic,Female,4667.0,0.0,1985
1977,AK,North Slope Borough,rural,West,Pacific,Female,0.0,,1977
1998,AR,Monroe County,rural,South,West South Central,Asian,2.0,,1998
2005,MO,Pemiscot County,rural,Midwest,West North Central,Male,5666.0,86.0,2005
1984,TX,Angelina County,rural,South,West South Central,Other,240.0,,1984
2015,AR,Lincoln County,small/mid,South,West South Central,White,6187.0,,2015
2007,MO,Saline County,rural,Midwest,West North Central,Male,7661.0,15.0,2007
2011,GA,Wilcox County,rural,South,South Atlantic,Native American,9.0,,2011
2013,PA,Clarion County,rural,Northeast,Middle Atlantic,Black,369.0,,2013
2001,TX,Live Oak County,rural,South,West South Central,Latino,3127.0,,2001
2016,TX,Harris County,urban,South,West South Central,Male,1546598.0,,2016
1973,IN,Wabash County,rural,Midwest,East North Central,Other,93.0,,1973
1995,AL,Cherokee County,rural,South,East South Central,White,13396.0,,1995
1972,TX,Kleberg County,rural,South,West South Central,Latino,,,1972
1979,NJ,Gloucester County,suburban,Northeast,Middle Atlantic,Black,10622.0,,1979
2001,IN,Jackson County,rural,Midwest,East North Central,Female,13316.0,7.333333,2001
1992,TX,Wichita County,small/mid,South,West South Central,Black,6795.0,,1992
1988,IL,Iroquois County,rural,Midwest,East North Central,White,18734.0,,1988
1999,KS,Sedgwick County,small/mid,Midwest,West North Central,Native American,3588.0,,1999
1988,NE,Jefferson County,rural,Midwest,West North Central,Total,5031.0,3.5625,1988
2015,OH,Fairfield County,suburban,Midwest,East North Central,Total,98700.0,200.0,2015
1974,AK,Aleutians West Census Area,rural,West,Pacific,Latino,,,1974
1981,NE,Otoe County,rural,Midwest,West North Central,Female,4521.0,0.0,1981
1985,OK,Ellis County,rural,South,West South Central,Female,1638.0,0.0,1985
2012,MN,Anoka County,suburban,Midwest,West North Central,Male,115621.0,200.0,2012
2006,AL,Clarke County,rural,South,East South Central,White,9349.0,,2006
1992,VA,Stafford County,suburban,South,South Atlantic,Black,3836.0,,1992
1997,MI,St. Joseph County,rural,Midwest,East North Central,Total,39214.0,64.0,1997
2001,NJ,Atlantic County,small/mid,Northeast,Middle Atlantic,Asian,10402.0,,2001
1993,MI,Calhoun County,small/mid,Midwest,East North Central,Asian,854.0,,1993
1979,KY,Wayne County,rural,South,East South Central,White,10279.0,,1979
2003,MS,Adams County,rural,South,East South Central,Other,,,2003
1972,MI,Montmorency County,rural,Midwest,East North Central,Male,1570.0,2.896552,1972
1971,UT,Rich County,rural,West,Middle Atlantic,Black,0.0,,1971
2005,WA,Spokane County,small/mid,West,Pacific,Black,5890.0,,2005
1997,OK,Nowata County,rural,South,West South Central,Latino,43.0,,1997
2015,MT,Valley County,rural,West,Mountain,Male,2347.0,2.0,2015
2012,IA,Polk County,small/mid,Midwest,West North Central,Male,146634.0,519.0,2012
2010,OK,Tillman County,rural,South,West South Central,Asian,15.0,,2010
1999,MN,Dakota County,suburban,Midwest,West North Central,Other,,,1999
2016,MS,Copiah County,small/mid,South,East South Central,Female,9580.0,,2016
1984,FL,St. Lucie County,small/mid,South,South Atlantic,Asian,,,1984
1981,MO,Washington County,rural,Midwest,West North Central,Asian,,,1981
2004,GA,Pike County,suburban,South,South Atlantic,Latino,111.0,,2004
1997,IL,Knox County,rural,Midwest,East North Central,Male,18413.0,23.0,1997
1997,MT,Chouteau County,rural,West,Mountain,Male,1803.0,3.666667,1997
1981,TX,Calhoun County,rural,South,West South Central,Other,158.0,,1981
2012,KY,Todd County,rural,South,East South Central,Native American,16.0,,2012
1997,NY,Schenectady County,small/mid,Northeast,Middle Atlantic,Male,45666.0,163.5,1997
2004,MN,Goodhue County,rural,Midwest,West North Central,Black,252.0,,2004
1995,MI,Wexford County,rural,Midwest,East North Central,Black,27.0,,1995
2009,CA,Alameda County,urban,West,Pacific,Latino,225789.0,,2009
2015,NE,Polk County,rural,Midwest,West North Central,Black,12.0,,2015
2016,TN,Hancock County,rural,South,East South Central,Total,4137.0,,2016
1970,TX,Hood County,suburban,South,West South Central,Other,24.0,,1970
1975,TX,Palo Pinto County,rural,South,West South Central,Latino,,,1975
1998,TX,Panola County,rural,South,West South Central,Female,7335.0,2.833333,1998
1998,CA,Sutter County,small/mid,West,Pacific,Male,24179.0,123.0,1998
2001,TX,Kleberg County,rural,South,West South Central,Native American,79.0,,2001
1977,CO,Jefferson County,suburban,West,Mountain,Other,3040.0,,1977
1998,OR,Morrow County,rural,West,Pacific,Male,3328.0,10.41226,1998
2016,NJ,Warren County,small/mid,Northeast,Middle Atlantic,White,59607.0,,2016
1982,MN,Otter Tail County,rural,Midwest,West North Central,Latino,,,1982
1980,IN,Miami County,rural,Midwest,East North Central,Total,25512.0,8.0,1980
1994,OK,Okmulgee County,small/mid,South,West South Central,Other,,,1994
1996,WI,Marquette County,rural,Midwest,West North Central,Female,4256.0,0.0,1996
2011,GA,Mitchell County,rural,South,South Atlantic,Female,7097.0,5.0,2011
1995,OH,Harrison County,rural,Midwest,East North Central,Native American,5.0,,1995
2004,ND,Bowman County,rural,Midwest,West North Central,Other,,,2004
2005,NE,Arthur County,rural,Midwest,West North Central,Male,126.0,0.0,2005
2005,SC,Williamsburg County,rural,South,South Atlantic,Female,12002.0,6.0,2005
2009,KS,Cowley County,rural,Midwest,West North Central,Other,,,2009
2013,PA,Mifflin County,rural,Northeast,Middle Atlantic,Native American,41.0,,2013
1992,IL,Bureau County,rural,Midwest,East North Central,Black,64.0,,1992
1990,GA,Coweta County,suburban,South,South Atlantic,Native American,73.0,,1990
2011,AL,Cleburne County,rural,South,East South Central,Total,9735.0,42.25,2011
2008,OK,Wagoner County,small/mid,South,West South Central,Asian,672.0,,2008
1993,MN,Martin County,rural,Midwest,West North Central,Latino,99.0,,1993
2005,MA,Berkshire County,small/mid,Northeast,New England,Other,,,2005
1981,FL,Dixie County,rural,South,South Atlantic,Native American,,,1981
1998,MN,Carver County,suburban,Midwest,West North Central,White,41467.0,,1998
2014,NE,Harlan County,rural,Midwest,West North Central,Male,1061.0,1.0,2014
2014,TX,Delta County,rural,South,West South Central,Asian,33.0,,2014
1999,FL,Alachua County,small/mid,South,South Atlantic,Male,78265.0,497.0,1999
1980,VA,James City County,suburban,South,South Atlantic,Male,7664.0,0.0,1980
2011,KS,Grant County,rural,Midwest,West North Central,Other,,,2011
1978,IN,Elkhart County,small/mid,Midwest,East North Central,White,83898.0,,1978
1997,NV,Pershing County,rural,West,Mountain,Native American,112.0,,1997
1978,FL,Sumter County,small/mid,South,South Atlantic,Black,2803.0,,1978
1980,MS,Harrison County,small/mid,South,East South Central,Female,51467.0,8.25,1980
1976,MS,Clarke County,rural,South,East South Central,Native American,,,1976
2001,CA,Tulare County,small/mid,West,Pacific,Other,,,2001
1991,MS,Yalobusha County,rural,South,East South Central,Native American,5.0,,1991
1973,MO,Douglas County,rural,Midwest,West North Central,Male,3091.0,1.0,1973
1996,KY,Ohio County,rural,South,East South Central,Native American,23.0,,1996
2002,WI,Adams County,rural,Midwest,West North Central,Black,526.0,,2002
1994,AL,Geneva County,small/mid,South,East South Central,Asian,13.0,,1994
1998,WI,Lincoln County,rural,Midwest,West North Central,Latino,89.0,,1998
1983,WY,Weston County,rural,West,Mountain,Female,2421.0,0.0,1983
1983,MD,Talbot County,rural,South,South Atlantic,Native American,,,1983
2003,PA,Lackawanna County,small/mid,Northeast,Middle Atlantic,Native American,138.0,,2003
1991,MI,Gogebic County,rural,Midwest,East North Central,White,10007.0,,1991
2003,GA,Grady County,rural,South,South Atlantic,Asian,54.0,,2003
2002,MI,Montmorency County,rural,Midwest,East North Central,Female,3138.0,0.0,2002
1991,GA,Bulloch County,rural,South,South Atlantic,Male,15488.0,3.0,1991
1992,KY,McCracken County,rural,South,East South Central,Male,19684.0,48.0,1992
1995,ID,Payette County,rural,West,Mountain,Total,11698.0,11.18182,1995
1996,NY,Westchester County,suburban,Northeast,Middle Atlantic,Other,,,1996
1985,GA,Glynn County,small/mid,South,South Atlantic,White,28692.0,,1985
1970,CA,Riverside County,urban,West,Pacific,White,253218.0,,1970
2012,IL,Pope County,rural,Midwest,East North Central,Latino,52.0,,2012
1976,OK,Greer County,rural,South,West South Central,Latino,,,1976
2008,MA,Suffolk County,urban,Northeast,New England,Asian,47095.0,,2008
1995,OH,Highland County,rural,Midwest,East North Central,Latino,74.0,,1995
1991,TN,Overton County,rural,South,East South Central,Male,5810.0,7.8,1991
2011,OH,Hocking County,suburban,Midwest,East North Central,Native American,73.0,,2011
2003,WI,Ozaukee County,suburban,Midwest,West North Central,Latino,818.0,,2003
1985,AL,Limestone County,small/mid,South,East South Central,White,28479.0,,1985
2005,NY,Cortland County,rural,Northeast,Middle Atlantic,Asian,270.0,,2005
1994,ND,McIntosh County,rural,Midwest,West North Central,Female,926.0,0.0,1994
1996,ID,Valley County,rural,West,Mountain,Black,0.0,,1996
2009,FL,DeSoto County,rural,South,South Atlantic,Female,8733.0,14.0,2009
1996,OH,Holmes County,rural,Midwest,East North Central,Total,21875.0,9.0,1996
1982,KS,Kearny County,rural,Midwest,West North Central,White,2332.0,,1982
2000,IL,Kankakee County,small/mid,Midwest,East North Central,Black,9961.0,,2000
1982,SD,Fall River County,rural,Midwest,West North Central,Male,2561.0,8.0,1982
1977,GA,Union County,rural,South,South Atlantic,White,5402.0,,1977
1996,IL,Wabash County,rural,Midwest,East North Central,White,7998.0,,1996
1989,NE,Colfax County,rural,Midwest,West North Central,Female,2467.0,0.0,1989
2015,GA,Dodge County,rural,South,South Atlantic,Native American,29.0,,2015
1996,WA,Jefferson County,rural,West,Pacific,Latino,246.0,,1996
1993,WV,Mercer County,rural,South,South Atlantic,Other,,,1993
1977,IN,Clinton County,rural,Midwest,East North Central,Total,19538.0,10.75,1977
1999,AR,Woodruff County,rural,South,West South Central,White,3840.0,,1999
1993,SD,Potter County,rural,Midwest,West North Central,Black,0.0,,1993
2011,IN,Jay County,rural,Midwest,East North Central,Native American,18.0,,2011
1972,SD,Bennett County,rural,Midwest,West North Central,Black,0.0,,1972
1995,KS,Greeley County,rural,Midwest,West North Central,Native American,0.0,,1995
2003,MN,Martin County,rural,Midwest,West North Central,Other,,,2003
1992,IL,Randolph County,rural,Midwest,East North Central,Female,9480.0,3.636364,1992
2010,NY,Yates County,suburban,Northeast,Middle Atlantic,Asian,62.0,,2010
1973,KY,Pike County,rural,South,East South Central,Other,66.0,,1973
2001,NC,Hoke County,small/mid,South,South Atlantic,Total,23001.0,60.66667,2001
2010,WY,Platte County,rural,West,Mountain,Other,,,2010
1999,SC,Oconee County,rural,South,South Atlantic,Native American,91.0,,1999
1999,GA,Toombs County,rural,South,South Atlantic,Male,8200.0,43.0,1999
2015,GA,Brooks County,small/mid,South,South Atlantic,Black,3511.0,,2015
1987,NY,Sullivan County,rural,Northeast,Middle Atlantic,Asian,,,1987
2007,AZ,Greenlee County,rural,West,Mountain,Black,51.0,,2007
2015,AZ,Gila County,rural,West,Mountain,Asian,277.0,,2015
2007,VA,Washington County,small/mid,South,South Atlantic,Female,18129.0,20.94529,2007
1990,OR,Jackson County,small/mid,West,Pacific,Male,45341.0,91.0,1990
2000,NY,Rockland County,suburban,Northeast,Middle Atlantic,Male,91593.0,117.0,2000
2004,MS,Copiah County,small/mid,South,East South Central,Total,19271.0,40.5,2004
1981,AL,Dallas County,rural,South,East South Central,Other,85.0,,1981
2007,TX,Crosby County,small/mid,South,West South Central,White,1606.0,,2007
1999,MO,Douglas County,rural,Midwest,West North Central,Female,4028.0,1.0,1999
1973,KY,Lincoln County,rural,South,East South Central,Black,473.0,,1973
1981,PA,Lebanon County,small/mid,Northeast,Middle Atlantic,Black,357.0,,1981
1999,TX,Travis County,urban,South,West South Central,Male,298689.0,1437.0,1999
1982,WV,Wetzel County,rural,South,South Atlantic,Black,2.0,,1982
2014,KY,Nelson County,rural,South,East South Central,Asian,173.0,,2014
1981,LA,East Baton Rouge Parish,small/mid,South,West South Central,Female,132787.0,19.14286,1981
1995,UT,Morgan County,small/mid,West,Middle Atlantic,Latino,41.0,,1995
1972,GA,Lowndes County,small/mid,South,South Atlantic,Total,37811.0,34.67876,1972
1992,MO,Phelps County,rural,Midwest,West North Central,White,22620.0,,1992
1979,IA,Cedar County,rural,Midwest,West North Central,White,11674.0,,1979
1987,MO,Cass County,suburban,Midwest,West North Central,White,37893.0,,1987
1988,IN,Fayette County,rural,Midwest,East North Central,White,16371.0,,1988
1983,MN,Swift County,rural,Midwest,West North Central,Male,3609.0,0.0,1983
1981,MI,Hillsdale County,rural,Midwest,East North Central,Other,123.0,,1981
1986,ME,Hancock County,rural,Northeast,New England,Other,161.0,,1986
1981,PA,Monroe County,small/mid,Northeast,Middle Atlantic,Black,732.0,,1981
2006,NM,Roosevelt County,rural,West,Mountain,Other,,,2006
1992,GA,Richmond County,small/mid,South,South Atlantic,Native American,427.0,,1992
1996,GA,Calhoun County,rural,South,South Atlantic,Asian,0.0,,1996
1992,TN,Warren County,rural,South,East South Central,Other,,,1992
1997,MO,Reynolds County,rural,Midwest,West North Central,Asian,1.0,,1997
1997,IN,Crawford County,rural,Midwest,East North Central,Black,0.0,,1997
1989,PA,Cameron County,rural,Northeast,Middle Atlantic,Other,13.0,,1989
1986,TX,Bee County,rural,South,West South Central,Other,255.0,,1986
2008,MS,Greene County,rural,South,East South Central,Native American,32.0,,2008
2012,IL,Hardin County,rural,Midwest,East North Central,Asian,19.0,,2012
2001,GA,Chatham County,small/mid,South,South Atlantic,White,86383.0,,2001
1979,NC,Wilson County,rural,South,South Atlantic,Female,21593.0,1.3,1979
2004,MN,Hennepin County,urban,Midwest,West North Central,Other,,,2004
2009,TX,Kinney County,rural,South,West South Central,Other,,,2009
1970,MO,Benton County,rural,Midwest,West North Central,Latino,,,1970
2005,OH,Hardin County,rural,Midwest,East North Central,Total,21554.0,0.0,2005
1986,UT,Wasatch County,rural,West,Middle Atlantic,Latino,,,1986
1982,IN,Daviess County,rural,Midwest,East North Central,Asian,,,1982
2010,DC,District of Columbia,urban,South,South Atlantic,Total,449151.0,1669.0,2010
1970,LA,St. John the Baptist Parish,suburban,South,West South Central,Latino,,,1970
1989,MA,Norfolk County,suburban,Northeast,New England,Other,12960.0,,1989
1974,TX,Garza County,rural,South,West South Central,White,2967.0,,1974
1987,NC,Randolph County,small/mid,South,South Atlantic,Total,68830.0,40.0,1987
1995,TN,Fentress County,rural,South,East South Central,Male,5111.0,6.285714,1995
1989,OH,Champaign County,rural,Midwest,East North Central,Black,623.0,,1989
2001,TX,Lampasas County,small/mid,South,West South Central,Native American,78.0,,2001
1974,AR,Saline County,small/mid,South,West South Central,Female,14332.0,0.0,1974
1974,MO,Warren County,suburban,Midwest,West North Central,Asian,,,1974
1984,AR,Scott County,rural,South,West South Central,White,5933.0,,1984
2002,MO,St. Clair County,rural,Midwest,West North Central,Black,20.0,,2002
1986,MS,Lee County,rural,South,East South Central,Total,40109.0,9.0,1986
