year,state,county_name,urbanicity,region,division,pop_category,population,pretrial_population,_art_year
1986,AZ,Mohave County,small/mid,West,Mountain,Total,46678.0,60.0,1986
1992,LA,Acadia Parish,small/mid,South,West South Central,Asian,47.0,,1992
1974,PA,Beaver County,suburban,Northeast,Middle Atlantic,Black,6802.0,,1974
2013,WV,Doddridge County,rural,South,South Atlantic,Other,,,2013
2016,PA,Jefferson County,rural,Northeast,Middle Atlantic,Other,,,2016
1981,NE,Colfax County,rural,Midwest,West North Central,Latino,,,1981
2010,MO,Franklin County,suburban,Midwest,West North Central,Female,33283.0,12.0,2010
1982,MS,Covington County,rural,South,East South Central,Male,4703.0,9.047619,1982
1998,AR,Lawrence County,rural,South,West South Central,Latino,47.0,,1998
1989,IN,Pike County,rural,Midwest,East North Central,Female,4068.0,0.0,1989
1980,SD,Minnehaha County,small/mid,Midwest,West North Central,Asian,,,1980
1982,OK,Cotton County,small/mid,South,West South Central,White,3765.0,,1982
2015,NC,Brunswick County,small/mid,South,South Atlantic,Male,33247.0,183.0,2015
1979,IL,Knox County,rural,Midwest,East North Central,Male,19355.0,8.0,1979
2016,VA,York County,suburban,South,South Atlantic,White,32321.0,,2016
2005,IL,Livingston County,rural,Midwest,East North Central,White,22934.0,,2005
1984,VA,Frederick County,small/mid,South,South Atlantic,Native American,,,1984
2013,NE,Wheeler County,rural,Midwest,West North Central,Total,491.0,0.2570409,2013
1989,UT,Kane County,rural,West,Middle Atlantic,Total,2828.0,1.4,1989
1988,WV,Logan County,rural,South,South Atlantic,Female,15107.0,4.809524,1988
1990,MN,Mille Lacs County,suburban,Midwest,West North Central,White,10477.0,,1990
1975,MI,Alpena County,rural,Midwest,East North Central,Male,9831.0,4.0,1975
1987,KS,Crawford County,rural,Midwest,West North Central,Total,22459.0,12.8,1987
1998,MO,Dent County,rural,Midwest,West North Central,White,8915.0,,1998
2013,KY,Fleming County,rural,South,East South Central,Total,9370.0,29.9078,2013
1990,IA,Appanoose County,rural,Midwest,West North Central,Latino,40.0,,1990
1984,LA,St. John the Baptist Parish,suburban,South,West South Central,Total,25180.0,35.0,1984
1972,IN,White County,rural,Midwest,East North Central,Native American,,,1972
2005,VA,Staunton city,small/mid,South,South Atlantic,White,12890.0,,2005
1998,TN,Johnson County,rural,South,East South Central,Female,5308.0,3.083333,1998
