book,text,line_num
A Study In Scarlet,"""Why, man, it is the most practical medico-legal discovery for years.",233
A Study In Scarlet,Don't you see that it gives us an infallible test for blood stains.,234
A Study In Scarlet,"Come over here now!"" He seized me by the coat-sleeve in his",235
A Study In Scarlet,"eagerness, and drew me over to the table at which he had been",236
A Study In Scarlet,"working. ""Let us have some fresh blood,"" he said, digging a long",237
A Study In Scarlet,"bodkin into his finger, and drawing off the resulting drop of blood",238
A Study In Scarlet,"in a chemical pipette. ""Now, I add this small quantity of blood to a",239
A Study In Scarlet,litre of water. You perceive that the resulting mixture has the,240
A Study In Scarlet,appearance of pure water. The proportion of blood cannot be more than,241
A Study In Scarlet,"one in a million. I have no doubt, however, that we shall be able to",242
A Study In Scarlet,"obtain the characteristic reaction."" As he spoke, he threw into the",243
A Study In Scarlet,"vessel a few white crystals, and then added some drops of a",244
A Study In Scarlet,transparent fluid. In an instant the contents assumed a dull mahogany,245
A Study In Scarlet,"colour, and a brownish dust was precipitated to the bottom of the",246
A Study In Scarlet,glass jar.,247
A Study In Scarlet,,248
A Study In Scarlet,"""Ha! ha!"" he cried, clapping his hands, and looking as delighted as a",249
A Study In Scarlet,"child with a new toy. ""What do you think of that?""",250
A Study In Scarlet,,251
A Study In Scarlet,"""It seems to be a very delicate test,"" I remarked.",252
A Study In Scarlet,,253
A Study In Scarlet,"""Beautiful! beautiful! The old Guiacum test was very clumsy and",254
A Study In Scarlet,uncertain. So is the microscopic examination for blood corpuscles.,255
A Study In Scarlet,"The latter is valueless if the stains are a few hours old. Now, this",256
A Study In Scarlet,appears to act as well whether the blood is old or new. Had this test,257
A Study In Scarlet,"been invented, there are hundreds of men now walking the earth who",258
A Study In Scarlet,"would long ago have paid the penalty of their crimes.""",259
A Study In Scarlet,,260
A Study In Scarlet,"""Indeed!"" I murmured.",261
A Study In Scarlet,,262
A Study In Scarlet,"""Criminal cases are continually hinging upon that one point. A man is",263
A Study In Scarlet,suspected of a crime months perhaps after it has been committed. His,264
A Study In Scarlet,"linen or clothes are examined, and brownish stains discovered upon",265
A Study In Scarlet,"them. Are they blood stains, or mud stains, or rust stains, or fruit",266
A Study In Scarlet,"stains, or what are they? That is a question which has puzzled many",267
A Study In Scarlet,"an expert, and why? Because there was no reliable test. Now we have",268
A Study In Scarlet,"the Sherlock Holmes' test, and there will no longer be any",269
A Study In Scarlet,"difficulty.""",270
A Study In Scarlet,,271
A Study In Scarlet,"His eyes fairly glittered as he spoke, and he put his hand over his",272
A Study In Scarlet,heart and bowed as if to some applauding crowd conjured up by his,273
A Study In Scarlet,imagination.,274
A Study In Scarlet,,275
A Study In Scarlet,"""You are to be congratulated,"" I remarked, considerably surprised at",276
A Study In Scarlet,his enthusiasm.,277
A Study In Scarlet,,278
A Study In Scarlet,"""There was the case of Von Bischoff at Frankfort last year. He would",279
A Study In Scarlet,certainly have been hung had this test been in existence. Then there,280
A Study In Scarlet,"was Mason of Bradford, and the notorious Muller, and Lefevre of",281
A Study In Scarlet,"Montpellier, and Samson of new Orleans. I could name a score of cases",282
A Study In Scarlet,"in which it would have been decisive.""",283
A Study In Scarlet,,284
A Study In Scarlet,"""You seem to be a walking calendar of crime,"" said Stamford with a",285
A Study In Scarlet,"laugh. ""You might start a paper on those lines. Call it the 'Police",286
A Study In Scarlet,"News of the Past.'""",287
A Study In Scarlet,,288
A Study In Scarlet,"""Very interesting reading it might be made, too,"" remarked Sherlock",289
A Study In Scarlet,"Holmes, sticking a small piece of plaster over the prick on his",290
A Study In Scarlet,"finger. ""I have to be careful,"" he continued, turning to me with a",291
A Study In Scarlet,"smile, ""for I dabble with poisons a good deal."" He held out his hand",292
A Study In Scarlet,"as he spoke, and I noticed that it was all mottled over with similar",293
A Study In Scarlet,"pieces of plaster, and discoloured with strong acids.",294
A Study In Scarlet,,295
A Study In Scarlet,"""We came here on business,"" said Stamford, sitting down on a high",296
A Study In Scarlet,"three-legged stool, and pushing another one in my direction with his",297
A Study In Scarlet,"foot. ""My friend here wants to take diggings, and as you were",298
A Study In Scarlet,"complaining that you could get no one to go halves with you, I",299
A Study In Scarlet,"thought that I had better bring you together.""",300
A Study In Scarlet,,301
A Study In Scarlet,Sherlock Holmes seemed delighted at the idea of sharing his rooms,302
A Study In Scarlet,"with me. ""I have my eye on a suite in Baker Street,"" he said, ""which",303
A Study In Scarlet,would suit us down to the ground. You don't mind the smell of strong,304
A Study In Scarlet,"tobacco, I hope?""",305
A Study In Scarlet,,306
A Study In Scarlet,"""I always smoke 'ship's' myself,"" I answered.",307
A Study In Scarlet,,308
A Study In Scarlet,"""That's good enough. I generally have chemicals about, and",309
A Study In Scarlet,"occasionally do experiments. Would that annoy you?""",310
A Study In Scarlet,,311
A Study In Scarlet,"""By no means.""",312
A Study In Scarlet,,313
A Study In Scarlet,"""Let me see--what are my other shortcomings. I get in the dumps at",314
A Study In Scarlet,"times, and don't open my mouth for days on end. You must not think I",315
A Study In Scarlet,"am sulky when I do that. Just let me alone, and I'll soon be right.",316
A Study In Scarlet,What have you to confess now? It's just as well for two fellows to,317
A Study In Scarlet,"know the worst of one another before they begin to live together.""",318
A Study In Scarlet,,319
A Study In Scarlet,"I laughed at this cross-examination. ""I keep a bull pup,"" I said,",320
A Study In Scarlet,"""and I object to rows because my nerves are shaken, and I get up at",321
A Study In Scarlet,"all sorts of ungodly hours, and I am extremely lazy. I have another",322
A Study In Scarlet,"set of vices when I'm well, but those are the principal ones at",323
A Study In Scarlet,"present.""",324
A Study In Scarlet,,325
A Study In Scarlet,"""Do you include violin-playing in your category of rows?"" he asked,",326
A Study In Scarlet,anxiously.,327
A Study In Scarlet,,328
A Study In Scarlet,"""It depends on the player,"" I answered. ""A well-played violin is a",329
A Study In Scarlet,"treat for the gods--a badly-played one--""",330
A Study In Scarlet,,331
A Study In Scarlet,"""Oh, that's all right,"" he cried, with a merry laugh. ""I think we may",332
A Study In Scarlet,"consider the thing as settled--that is, if the rooms are agreeable to",333
A Study In Scarlet,"you.""",334
A Study In Scarlet,,335
A Study In Scarlet,"""When shall we see them?""",336
A Study In Scarlet,,337
A Study In Scarlet,"""Call for me here at noon to-morrow, and we'll go together and settle",338
A Study In Scarlet,"everything,"" he answered.",339
A Study In Scarlet,,340
A Study In Scarlet,"""All right--noon exactly,"" said I, shaking his hand.",341
A Study In Scarlet,,342
A Study In Scarlet,"We left him working among his chemicals, and we walked together",343
A Study In Scarlet,towards my hotel.,344
A Study In Scarlet,,345
A Study In Scarlet,"""By the way,"" I asked suddenly, stopping and turning upon Stamford,",346
A Study In Scarlet,"""how the deuce did he know that I had come from Afghanistan?""",347
A Study In Scarlet,,348
A Study In Scarlet,"My companion smiled an enigmatical smile. ""That's just his little",349
A Study In Scarlet,"peculiarity,"" he said. ""A good many people have wanted to know how he",350
A Study In Scarlet,"finds things out.""",351
A Study In Scarlet,,352
A Study In Scarlet,"""Oh! a mystery is it?"" I cried, rubbing my hands. ""This is very",353
A Study In Scarlet,piquant. I am much obliged to you for bringing us together. 'The,354
A Study In Scarlet,"proper study of mankind is man,' you know.""",355
A Study In Scarlet,,356
A Study In Scarlet,"""You must study him, then,"" Stamford said, as he bade me good-bye.",357
A Study In Scarlet,"""You'll find him a knotty problem, though. I'll wager he learns more",358
A Study In Scarlet,"about you than you about him. Good-bye.""",359
A Study In Scarlet,,360
A Study In Scarlet,"""Good-bye,"" I answered, and strolled on to my hotel, considerably",361
A Study In Scarlet,interested in my new acquaintance.,362
A Study In Scarlet,,363
A Study In Scarlet,CHAPTER II,364
A Study In Scarlet,The Science Of Deduction,365
A Study In Scarlet,,366
A Study In Scarlet,"We met next day as he had arranged, and inspected the rooms at No.",367
A Study In Scarlet,"221b, Baker Street, of which he had spoken at our meeting. They",368
A Study In Scarlet,consisted of a couple of comfortable bed-rooms and a single large,369
A Study In Scarlet,"airy sitting-room, cheerfully furnished, and illuminated by two broad",370
A Study In Scarlet,"windows. So desirable in every way were the apartments, and so",371
A Study In Scarlet,"moderate did the terms seem when divided between us, that the bargain",372
A Study In Scarlet,"was concluded upon the spot, and we at once entered into possession.",373
A Study In Scarlet,"That very evening I moved my things round from the hotel, and on the",374
A Study In Scarlet,following morning Sherlock Holmes followed me with several boxes and,375
A Study In Scarlet,portmanteaus. For a day or two we were busily employed in unpacking,376
A Study In Scarlet,"and laying out our property to the best advantage. That done, we",377
A Study In Scarlet,gradually began to settle down and to accommodate ourselves to our,378
A Study In Scarlet,new surroundings.,379
A Study In Scarlet,,380
A Study In Scarlet,Holmes was certainly not a difficult man to live with. He was quiet,381
A Study In Scarlet,"in his ways, and his habits were regular. It was rare for him to be",382
A Study In Scarlet,"up after ten at night, and he had invariably breakfasted and gone out",383
A Study In Scarlet,before I rose in the morning. Sometimes he spent his day at the,384
A Study In Scarlet,"chemical laboratory, sometimes in the dissecting-rooms, and",385
